"PlotNumber","ProjectID","SitePlotQuality","Date","Longitude","Latitude","Zone","SubZone","SiteSeries","MoistureRegime","NutrientRegime","BECSiteUnit","Elevation","SlopeGradient","Aspect","MesoSlopePosition"
"122178",,,13/6/1978 0:00:00,129.10,53.07,"CWH","vh2","01","5","D",,160,58.00,275,"MD"
"122380","EP 822-05",,20/6/1980 0:00:00,126.12,51.67,"CWH","ws2","01","4","C",,700,8.00,320,"LV"
"122480","EP 822-05",,19/6/1980 0:00:00,126.34,51.55,"CWH","ws2","01","4","C",,750,10.00,216,"TO"
"122580","EP822-05","oct",18/6/1980 0:00:00,126.62,51.62,"CWH","ms2","01","4","C",,280,38.00,225,"LW"
"122780","EP 822-05",,19/6/1980 0:00:00,126.34,51.55,"CWH","ws2","01","4","C",,760,5.00,210,"MD"
"122980","EP822-05","oct",22/6/1980 0:00:00,126.49,51.79,"CWH","ms2","01","4","C",,100,10.00,337,"MD"
"123178","EP822-05",,11/10/1978 0:00:00,126.56,54.86,"SBS","mc2","01","4","B",,808,5.00,20,"MD"
"123280","EP822-05","oct",21/6/1980 0:00:00,126.64,51.77,"CWH","ms2","01","4","B",,100,30.00,244,"UP"
"123380","EP 822-05",,25/6/1980 0:00:00,126.37,51.77,"CWH","ws2","01","4","C",,540,85.00,351,"MD"
"124280",,,,130.66,56.70,"ICH","wc","01","4","D",,310,22.00,360,
"124480","EP822-05","oct",26/6/1980 0:00:00,126.57,51.75,"CWH","ms2","01","4","C",,60,34.00,6,"UP"
"124578",,,31/8/1978 0:00:00,127.53,54.81,"ESSF","wv","01","4","C",,1000,24.00,56,"MD"
"124680","EP822-05","oct",25/6/1980 0:00:00,126.54,51.77,"CWH","ms2","01","3","C",,256,26.00,296,"MD"
"124780","SBSdk",,,126.87,54.62,"SBS","dk","01",,,,,,,
"124880","EP822-05",,17/6/1980 0:00:00,125.19,53.97,"SBS","mc2","01","4","C",,1060,6.00,180,"MD"
"124980","EP822-05",,16/6/1980 0:00:00,125.00,54.05,"SBS","mc2","01","4","C",,820,13.00,160,"MD"
"125080","EP822-05",,6/6/1980 0:00:00,127.20,54.77,"SBS","mc2","01","4","C",,900,13.00,60,"UP"
"125478","EP822-08",,29/8/1978 0:00:00,127.59,54.76,"SBS","mc2","01","4","C",,853,31.00,18,"MD"
"125578",,,30/8/1978 0:00:00,127.97,54.80,"CWH","ws2","01","4","C",,735,70.00,216,"MD"
"1258181","TFL 24",,1/9/1981 0:00:00,131.31,52.28,"CWH","vh2","01","5","C",,5,12.00,270,"TO"
"1258381","TFL 24 Ecosystems",,3/8/1981 0:00:00,,,"CWH","wh1","01","5","C",,30,47.00,255,"TO"
"125-A","TFL_23_PEM","poor",21/8/2000 0:00:00,117.99,50.12,"ICH","mw2","01","3","C",,738,36.00,106,"MD"
"125-B","TFL_23_PEM","poor",21/8/2000 0:00:00,117.99,50.12,"ICH","mw2","01","3","C",,743,23.00,94,"MD"
"125-C","TFL_23_PEM","poor",21/8/2000 0:00:00,117.99,50.12,"ICH","mw2","01","3","C",,748,33.00,108,"MD"
"12-6403","NFRBEC2012","BEC",20/6/2012 0:00:00,118.36,49.17,"ICH","mk1","101","4","C",,1309,15.00,10,"LW"
"12-6424","NFRBEC2012","BEC",10/7/2012 0:00:00,118.37,49.60,"ICH","mw5","101","3","C",,990,30.00,60,"MD"
"1266081","TFL 24",,1/8/1981 0:00:00,,,"CWH","vh2","01","4","C",,90,30.00,205,"LW"
"1266181","TFL 24",,,,,"CWH","vh2","01","3","C",,190,10.00,230,"CR"
"1266381","TFL 24",,1/8/1981 0:00:00,,,"CWH","vh2","01","4","C",,240,32.00,240,"MD"
"1266481","TFL 24",,1/8/1981 0:00:00,,,"CWH","vh2","01","4","C",,130,4.00,360,"CR"
"1266581","TFL 24",,1/8/1981 0:00:00,,,"CWH","vh2","01","3","C",,120,7.00,360,"UP"
"1266681","TFL 24",,1/8/1981 0:00:00,,,"CWH","vh2","01","4","C",,5,1.00,999,"LV"
"1266981","TFL 24",,1/8/1981 0:00:00,131.15,52.18,"CWH","vh2","01","4","C",,90,3.00,360,"CR"
"1267381","TFL 24",,8/8/1981 0:00:00,131.31,52.28,"CWH","vh2","01","6","C",,20,5.00,,"CR"
"1267481","TFL 24 Ecosystems",,1/8/1981 0:00:00,,,"CWH","wh1","01","4","C",,200,48.00,240,"MD"
"126-A","TFL3_PEM","poor",25/7/2000 0:00:00,117.96,49.59,"ICH","mw2","01","4","C",,1360,57.00,295,"MD"
"126-B","TFL3_PEM","poor",25/7/2000 0:00:00,117.96,49.61,"ICH","mw2","01","4","C",,1362,45.00,299,"MD"
"126-C","TFL3_PEM","poor",25/7/2000 0:00:00,117.96,49.60,"ICH","mw2","01","4","C",,1366,40.00,307,"MD"
"1276880","EP822.05 Caribou",,10/6/1984 0:00:00,125.06,53.15,"SBPS","mc","01","3","B",,1205,5.00,270,"MD"
"1276980","EP822.05 Caribou",,10/6/1984 0:00:00,125.05,53.20,"SBPS","mc","01","4","C",,1200,55.00,300,"UP"
"16^1000","Bell_Pole_PEM","poor",31/5/2001 0:00:00,118.17,51.17,"ICH","wk1","01","4","C",,1185,35.00,283,"UP"
"16^600","Bell_Pole_PEM","poor",31/5/2001 0:00:00,118.18,51.17,"ICH","wk1","01","4","C",,1092,60.00,330,"MD"
"1600400","NelPSPupgrade2001","fair",,117.94,49.27,"ICH","mw2","01",,,,1325,,,
"168981","EP822.05 Caribou",,25/6/1984 0:00:00,125.51,53.24,"SBPS","mc","01","3","B",,1100,2.00,,"LV"
"169281","EP822.05 Caribou",,25/6/1984 0:00:00,125.43,53.26,"SBPS","mc","01","4","C",,1045,8.00,200,"MD"
"169481","EP822.05 Caribou",,26/6/1984 0:00:00,125.56,53.23,"SBPS","mc","01","3","B",,1080,13.00,118,"MD"
"1976015","BEC","BEC",,122.71,58.80,"BWBS","mw2","01","3-4","bc",,470,1.00,180,
"1976016","BEC","BEC",,122.70,58.81,"BWBS","mw2","01","3-4","bc",,440,7.00,0,
"1976019","BEC","BEC",,122.70,58.78,"BWBS","mk","01","3-4","bc",,360,1.00,0,
"1976026","BEC","BEC",,122.80,58.80,"BWBS","mw2","01","3-4","bc",,415,1.00,270,
"1976032","BEC","BEC",,122.71,58.78,"BWBS","mw2","01","3-4","bc",,375,0.00,,
"1976033","BEC","BEC",,122.71,58.78,"BWBS","mk","01","3-4","bc",,375,0.00,999,
"1976038","BEC","BEC",,122.65,58.78,"BWBS","mk","01","3-4","bc",,320,22.00,315,
"12DL01","KABEC 12",,3/7/2012 0:00:00,,,"ICH","mw2","01","4","C",,1249,25.00,90,"MD"
"12DL03","KABEC 12",,4/7/2012 0:00:00,,,"ICH","mw2","101","4","C",,945,30.00,160,"MD"
"12DL04","KABEC 12",,4/7/2012 0:00:00,,,"ICH","mw2","101","4","C",,756,25.00,115,"MD"
"12MR01","KABEC 12",,4/6/2012 0:00:00,,,"MS","dm2","01","4","B",,,30.00,110,"MD"
"13^700","Bell_Pole_PEM","poor",30/5/2001 0:00:00,118.21,51.25,"ICH","mw3","01","3","C",,810,56.00,243,"UP"
"130178","EP822-05",,18/7/1978 0:00:00,127.08,54.58,"SBS","mc2","01","4","C",,945,12.00,220,"MD"
"130578",,,20/7/1978 0:00:00,127.40,55.92,"ICH","mc1","01","3","B",,715,21.00,350,"UP"
"131178","EP822-05",,15/9/1978 0:00:00,127.02,55.24,"SBS","mc2","01","4","C",,860,23.00,360,"MD"
"13212","TEM-SmithFishing9798","2",28/8/1997 0:00:00,126.81,59.32,"BWBS","mk","01","3","C",,905,40.00,215,"MD"
"132578","TFL-24 Ecosystems",,25/8/1978 0:00:00,,,"CWH","wh1","01","4","C",,350,15.00,,"CR"
"138-1","MesicXericwc1-OpJMJ","fair",22/9/2000 0:00:00,117.48,50.08,"ICH","mw2","01","4","C",,627,15.00,70,"MD"
"138-2","MesicXericwc1-OpJMJ","fair",22/9/2000 0:00:00,117.48,50.08,"ICH","mw2","01","4","C",,634,18.00,95,"MD"
"138-3","MesicXericwc1-OpJMJ","fair",22/9/2000 0:00:00,117.48,50.09,"ICH","mw2","01","4","C",,654,18.00,60,"MD"
"138-A","TFL_23_PEM","poor",17/8/2000 0:00:00,118.25,49.54,"ESSF","wc4","01","4","C",,1670,35.00,167,"MD"
"138-B","TFL_23_PEM","poor",17/8/2000 0:00:00,118.24,49.54,"ESSF","wc4","01","4","C",,1664,50.00,150,"MD"
"138-C","TFL_23_PEM","poor",17/8/2000 0:00:00,118.24,49.54,"ESSF","wc4","01","4","C",,1676,45.00,156,"MD"
"14^000","Bell_Pole_PEM","poor",31/5/2001 0:00:00,118.20,51.22,"ICH","mw3","01","4","C",,693,47.00,214,"MD"
"14-1","MesicXericwc1-OpJMJ","fair",15/9/2000 0:00:00,117.76,50.27,"ICH","mw2","01","4","C",,675,8.00,141,"TO"
"14479","EP822-05",,31/7/1984 0:00:00,128.42,56.78,"ESSF","wvp","01","4",,,1785,35.00,210,"MD"
"14769","HG 2006",,14/9/2006 0:00:00,132.19,53.25,"CWH","wh2","01","4-5","B",,378,15.00,20,"MD"
"147-C","TFL3_PEM","poor",20/7/2000 0:00:00,117.68,49.72,"ESSF","wc1","01","4","C",,1544,36.00,230,"MD"
"148-A","TFL_23_PEM","poor",17/8/2000 0:00:00,118.18,49.96,"ICH","mw2","01","4","C",,910,0.00,999,"LV"
"148-B","TFL_23_PEM","poor",17/8/2000 0:00:00,118.18,49.96,"ICH","mw2","01","4","C",,912,0.00,999,"LV"
"148-C","TFL_23_PEM","poor",17/8/2000 0:00:00,118.18,49.96,"ICH","mw2","01","4","C",,913,0.00,999,"LV"
"14-B","TFL3_PEM","poor",19/7/2000 0:00:00,117.65,49.73,"ICH","mw2","01","4","D",,1325,45.00,235,"LW"
"14-C","TFL3_PEM","poor",19/7/2000 0:00:00,117.65,49.73,"ICH","mw2","01","4","C",,1328,45.00,252,"LW"
"15^500","Bell_Pole_PEM","poor",31/5/2001 0:00:00,118.19,51.20,"ICH","mw3","01","4","C",,829,64.00,273,"MD"
"15^900","Bell_Pole_PEM","poor",31/5/2001 0:00:00,118.19,51.20,"ICH","wk1","01","5","C",,986,28.00,275,"MD"
"150181","BEC-Rupert","BEC",29/7/1980 0:00:00,131.95,53.20,"CWH","wh1","01","3","C",,150,65.00,300,"CR"
"150581","BEC-Vancouver","BEC",11/5/1981 0:00:00,,,"CWH","wh1","01","5","B",,185,5.00,170,"CR"
"150781","BEC-Vancouver","BEC",20/5/1981 0:00:00,132.33,53.57,"CWH","wh2","01","5","B",,440,50.00,95,"UP"
"150881","BEC-Vancouver","BEC",21/5/1981 0:00:00,132.33,53.57,"CWH","wh2","01","4","C",,285,40.00,170,"MD"
"150981","BEC-Vancouver","BEC",10/6/1981 0:00:00,,,"CWH","wh2","01","4","C",,365,40.00,40,"UP"
"151481","BEC-Vancouver","BEC",22/6/1981 0:00:00,132.19,53.39,"CWH","wh1","01","5","C",,180,20.00,150,"LW"
"151881","BEC-Vancouver","BEC",14/7/1981 0:00:00,,,"CWH","wh1","01","2","C",,125,15.00,250,"CR"
"15-2","MesicXericwc1-OpJMJ","fair",15/9/2000 0:00:00,117.77,50.27,"ICH","mw2","01","4","C",,750,45.00,172,"MD"
"152081",,,,,,"MH","wh2","01","2","C",,700,65.00,160,"UP"
"1522-1","Subhygric_ICH-JMJ","no soils",29/8/2001 0:00:00,117.90,49.03,"ICH","mw2","01","4","C",,1470,32.00,152,"MD"
"152-A","TFL_23_PEM","no soils",25/8/2000 0:00:00,118.09,50.82,"ICH","mw3","01","5","C",,824,25.00,53,"TO"
"152-C","TFL_23_PEM","no soils",25/8/2000 0:00:00,118.08,50.81,"ICH","mw3","01","3","C",,815,16.00,10,"CR"
"15-3","MesicXericwc1-OpJMJ","fair",15/9/2000 0:00:00,117.77,50.27,"ICH","mw2","01","4","C",,725,42.00,176,"MD"
"153-1","TECI_ARROW_PEM","no soils",26/9/2000 0:00:00,117.80,50.09,"ESSF","wc4","01","4","C",,1909,37.00,270,"MD"
"153-2","TECI_ARROW_PEM","no soils",26/9/2000 0:00:00,117.80,50.09,"ESSF","wc4","01","4","C",,1916,38.00,316,"MD"
"153-3","TECI_ARROW_PEM","no soils",26/9/2000 0:00:00,117.80,50.08,"ESSF","wc4","01","4","C",,1938,33.00,320,"MD"
"160278","EP822-05",,26/7/1978 0:00:00,126.93,54.73,"SBS","mc2","01","3","C",,976,0.00,,"CR"
"160378",,,27/7/1978 0:00:00,127.62,54.59,"CWH","ws2","01","4","C",,1006,36.00,184,"MD"
"160681",,,,129.92,54.04,"CWH","wm","01","4","C",,50,100.00,166,"LW"
"160881","EP 822-05",,23/8/1981 0:00:00,129.49,55.52,"CWH","ws1","01","4","C",,200,50.00,37,"UP"
"160978","BEC-Vancouver",,8/6/1976 0:00:00,127.58,52.23,"CWH","vm1","01","4","C",,216,12.00,192,"MD"
"161081","EP822-05",,22/7/1981 0:00:00,126.52,54.41,"SBS","mc2","01","3","C",,972,10.00,36,"UP"
"161178","EP822-05",,19/7/1978 0:00:00,127.27,54.65,"SBS","mc2","01","4","C",,835,9.00,187,"UP"
"161478",,,25/7/1978 0:00:00,127.34,55.92,"ICH","mc1","01","3","B",,670,9.00,,"CR"
"161481","EP 822-05",,6/7/1982 0:00:00,128.02,52.08,"CWH","vh2","01","4","C",,70,10.00,198,"TO"
"161578",,,1/8/1978 0:00:00,127.29,55.50,"ICH","mc2","01","4","C",,604,9.00,309,"MD"
"161678",,,26/7/1978 0:00:00,127.51,54.92,"ICH","mc2","01","4","D",,685,1.00,120,"MD"
"161881","EP 822-05",,7/7/1982 0:00:00,127.86,51.77,"CWH","vh2","01","4","C",,30,4.00,337,"CR"
"161978",,,1/8/1978 0:00:00,127.27,55.05,"ICH","mc2","01","3","B",,585,9.00,260,"LW"
"162081","EP 822-05",,2/7/1982 0:00:00,127.62,51.55,"CWH","vh2","01","4","C",,45,49.00,89,"MD"
"162478","BEC-Vancouver",,9/6/1978 0:00:00,127.91,52.12,"CWH","vh2","01","4","C",,30,70.00,130,"UP"
"162578",,,4/8/1978 0:00:00,127.35,55.22,"ICH","mc2","01","3","B",,690,25.00,220,"MD"
"162981","EP 822-05",,8/7/1982 0:00:00,127.59,52.07,"CWH","vh2","01","5","C",,50,60.00,80,"MD"
"163078",,,10/8/1978 0:00:00,128.82,54.02,"CWH","ws2","01","4","C",,893,49.00,330,"MD"
"163181","EP 822-05",,25/8/1982 0:00:00,131.27,52.24,"CWH","vh2","01","4","C",,115,27.00,220,"MD"
"163381","EP 822-05",,3/7/1982 0:00:00,127.74,51.60,"CWH","vh2","01","4","C",,55,27.00,66,"UP"
"163478","Terry Lewis Plots",,11/8/1978 0:00:00,127.82,54.15,"ESSF","mk","01","4","C",,850,7.00,345,"MD"
"163778",,,10/8/1978 0:00:00,127.70,54.01,"CWH","ws2","01","4","C",,870,33.00,55,"MD"
"163981","EP 822-05",,7/7/1982 0:00:00,127.87,51.84,"CWH","vh2","01","4","C",,40,30.00,260,"UP"
"16404","HG 2006",,15/9/2006 0:00:00,132.02,53.18,"CWH","wh1","01","4","C",,46,5.00,999,"LV"
"164478",,,25/8/1978 0:00:00,127.25,54.79,"ESSF","wv","01","5","D",,1170,40.00,52,"LW"
"164578","EP822-05",,25/8/1978 0:00:00,127.22,54.79,"SBS","mc2","01","4","C",,920,12.00,10,"MD"
"164678",,,30/8/1978 0:00:00,127.94,54.77,"CWH","ws2","01","4","C",,700,31.00,144,"MD"
"164681","TFL 24",,10/8/1981 0:00:00,131.25,52.19,"CWH","vh2","01","4","C",,70,36.00,90,"MD"
"164778",,,30/8/1978 0:00:00,127.94,54.77,"CWH","ws2","01","4","C",,685,0.00,,"LV"
"164878","BEC-Vancouver",,31/8/1978 0:00:00,127.61,54.79,"ESSF","wv","01","4","C",,1100,5.00,28,"CR"
"164881","TFL 24",,11/8/1981 0:00:00,131.23,52.19,"CWH","vh2","01","4","C",,50,12.00,250,"UP"
"164978",,,8/9/1978 0:00:00,127.18,55.96,"ESSF","wv","01","4","C",,1025,5.00,225,"UP"
"16499","HG 2006",,17/9/2006 0:00:00,132.26,53.44,"CWH","wh1","01","4","C",,150,0.00,,"LV"
"165078",,,29/8/1978 0:00:00,127.55,54.77,"ESSF","wv","01","4","C",,975,18.00,310,"LW"
"165781","TFL 24",,13/8/1981 0:00:00,131.29,52.24,"CWH","vh2","01","4","C",,80,23.00,50,"LW"
"165981","TFL 24",,13/8/1981 0:00:00,,,"CWH","vh2","01","4","C",,260,10.00,210,"UP"
"166481","TFL 24",,1/8/1981 0:00:00,,,"CWH","vh2","01","2","C",,350,30.00,180,"MD"
"169781","EP822.05 Caribou",,26/6/1984 0:00:00,125.50,53.24,"SBPS","mc","01","4","C",,1000,3.00,250,"MD"
"17^300","Bell_Pole_PEM","poor",31/5/2001 0:00:00,118.18,51.13,"ICH","mw3","01","4","C",,744,45.00,280,"MD"
"17^700","Bell_Pole_PEM","poor",31/5/2001 0:00:00,118.18,51.14,"ICH","wk1","01","4","C",,920,23.00,283,"MD"
"170081","EP822.05 Caribou",,28/6/1984 0:00:00,125.52,53.23,"SBPS","mc","01","4","C",,1000,0.00,999,"UP"
"171-A","TFL_23_PEM","fair",21/8/2000 0:00:00,118.11,50.83,"ICH","mw3","01","4","C",,737,38.00,29,"MD"
"171-B","TFL_23_PEM","fair",21/8/2000 0:00:00,118.11,50.83,"ICH","mw3","01","4","C",,738,30.00,30,"MD"
"171-C","TFL_23_PEM","fair",21/8/2000 0:00:00,118.11,50.83,"ICH","mw3","01","4","C",,730,33.00,29,"MD"
"173081","BEC-Vancouver","BEC",21/7/1983 0:00:00,127.16,52.94,"CWH","ms2","01","3","B",,230,0.00,999,"CR"
"175981","EP822.05 Caribou",,5/6/1984 0:00:00,125.14,53.12,"SBPS","mc","01","4","C",,1190,10.00,200,"UP"
"176-A","TFL3_PEM","poor",21/7/2000 0:00:00,117.76,49.77,"ESSF","wc4","01","3","C",,1604,20.00,160,"MD"
"176-B","TFL3_PEM","poor",21/7/2000 0:00:00,117.76,49.77,"ESSF","wc4","01","3","C",,1610,58.00,160,"LW"
"19^193","Bell_Pole_PEM","poor",6/3/2001 0:00:00,118.24,51.02,"ICH","mw3","01","4","C",,535,36.00,105,"MD"
"19^270","Bell_Pole_PEM","poor",6/3/2001 0:00:00,118.24,51.02,"ICH","mw3","01","4","C",,565,51.00,157,"MD"
"195-1","Subhygric_ICH-JMJ","no soils",27/8/2001 0:00:00,117.50,50.06,"ICH","mw2","01","3","C",,904,77.00,170,"LW"
"195-2","Subhygric_ICH-JMJ","no soils",27/8/2001 0:00:00,117.50,50.06,"ICH","mw2","01","3","C",,875,50.00,194,"LW"
"195-3","Subhygric_ICH-JMJ","no soils",27/8/2001 0:00:00,117.50,50.06,"ICH","mw2","01","3","C",,902,52.00,180,"LW"
"196-A","TFL3_PEM","poor",3/8/2000 0:00:00,117.97,49.71,"ESSF","wc4","01","5","D",,1674,34.00,90,"TO"
"196-B","TFL3_PEM","poor",3/8/2000 0:00:00,117.97,49.71,"ESSF","wc4","01","5","D",,1690,51.00,130,"LW"
"196-C","TFL3_PEM","poor",3/8/2000 0:00:00,117.97,49.71,"ESSF","wc4","01","4","C",,1697,40.00,132,"MD"
"197-A","TFL_23_PEM","poor",16/8/2000 0:00:00,118.28,50.07,"ESSF","wc1","01","4","C",,1380,25.00,222,"MD"
"197-B","TFL_23_PEM","poor",16/8/2000 0:00:00,118.28,50.07,"ESSF","wc1","01","4","C",,1378,28.00,227,"MD"
"197-C","TFL_23_PEM","poor",16/8/2000 0:00:00,118.28,50.07,"ESSF","wc1","01","4","C",,1375,27.00,235,"MD"
"198-A","TFL3_PEM","poor",24/7/2000 0:00:00,117.69,49.60,"ICH","mw2","01","3","C",,1429,57.00,343,"MD"
"198-B","TFL3_PEM","poor",24/7/2000 0:00:00,117.69,49.60,"ICH","mw2","01","3","C",,1426,47.00,345,"MD"
"198-C","TFL3_PEM","poor",24/7/2000 0:00:00,117.69,49.60,"ICH","mw2","01","4","C",,1425,52.00,343,"MD"
"2^800","Bell_Pole_PEM","poor",6/2/2001 0:00:00,118.44,51.43,"ICH","wk1","01","4","C",,850,29.00,290,"MD"
"20^1000","Bell_Pole_PEM","poor",6/1/2001 0:00:00,118.19,51.02,"ICH","mw3","01","4","C",,710,18.00,276,"MD"
"20^515","Bell_Pole_PEM","poor",6/1/2001 0:00:00,118.20,51.02,"ICH","mw3","01","4","C",,580,17.00,238,"LW"
"200451","Skeena Plots",,12/7/1976 0:00:00,127.67,54.97,"ICH","mc2","01","4",,,,20.00,340,"MD"
"200751","Skeena Plots",,20/7/1976 0:00:00,128.20,54.95,"ICH","mc2","01","3",,,150,,,"LV"
"201151",,,,128.25,54.75,"CWH","ws1","01","4","C",,185,25.00,250,"MD"
"201251","Skeena Plots",,23/7/1976 0:00:00,128.25,54.80,"ICH","mc2","01","4",,,160,0.00,,"LV"
"201351",,,,128.34,54.92,"CWH","ws2","01","4",,,,,,
"201551","Skeena Plots",,27/7/1976 0:00:00,127.97,55.10,"ICH","mc2","01","3",,,333,5.00,0,"CR"
"201651","Skeena Plots",,28/7/1976 0:00:00,127.95,55.09,"ICH","mc2","01","3",,,455,35.00,60,"LW"
"201851","Skeena Plots",,31/7/1976 0:00:00,128.37,54.40,"ICH","mc2","01","4",,,280,15.00,60,"LW"
"202050",,,,128.13,52.75,"MH","whp1","01","4","C",,570,3.00,,"CR"
"202451","Skeena Plots",,11/8/1976 0:00:00,127.84,55.22,"ICH","mc2","01","4",,,600,17.00,,"MD"
"202551","Skeena Plots",,11/8/1976 0:00:00,127.79,55.22,"ICH","mc2","01","4",,,660,40.00,,"UP"
"202650","BEC-Rupert","BEC",28/5/1981 0:00:00,132.55,53.60,"CWH","wh1","01","4","C",,50,5.00,359,"TO"
"202651","Skeena Plots",,11/8/1976 0:00:00,127.79,55.25,"ICH","mc2","01","4",,,630,5.00,,"MD"
"202850",,,,126.54,51.69,"CWH","ws2","01","4","C",,680,32.00,63,"MD"
"203050",,,,126.35,51.64,"CWH","ws2","01","4","C",,550,26.00,194,"MD"
"203350",,,,129.04,55.45,"CWH","ws2","01","4","C",,755,60.00,120,"MD"
"203351","Skeena Plots",,16/8/1976 0:00:00,127.74,55.07,"ICH","mc2","01","4",,,466,5.00,,"LV"
"203451","Skeena Plots",,16/8/1976 0:00:00,127.94,55.12,"ICH","mc2","01","4",,,572,10.00,,"UP"
"203550",,,7/7/1981 0:00:00,129.03,55.44,"ICH","mc2","01","3","B",,185,2.00,132,"LV"
"203551","Skeena Plots",,16/8/1976 0:00:00,127.74,55.07,"ICH","mc2","01","4",,,700,25.00,300,"MD"
"203650",,,,128.50,55.23,"CWH","ws2","01","4","C",,680,50.00,45,"MD"
"203751",,,,128.25,55.05,"CWH","ws2","01","4",,,,,,
"203851","Skeena Plots",,17/8/1976 0:00:00,127.79,55.24,"ICH","mc2","01","4",,,460,25.00,120,"MD"
"204050",,,,,,"ICH","mc2","01","4","C",,230,90.00,220,"UP"
"204151","Skeena Plots",,18/8/1976 0:00:00,127.82,55.17,"ICH","mc2","01","3",,,533,15.00,135,"UP"
"204251","Skeena Plots",,19/8/1976 0:00:00,128.04,55.09,"ICH","mc2","01","4",,,666,23.00,290,"MD"
"204350",,,,128.45,54.49,"CWH","ws2","01","4","C",,698,65.00,222,"MD"
"204351",,,,128.17,55.04,"CWH","ws1","01","4",,,490,23.00,82,"MD"
"204451",,,,,,"ICH","mc2","01",,,,,,,
"204551","Skeena Plots",,23/8/1976 0:00:00,128.17,55.04,"ICH","mc2","01","3",,,400,10.00,320,"MD"
"204650",,,,128.05,54.49,"CWH","ws2","01","4","C",,750,55.00,210,"MD"
"204651","Skeena Plots",,20/8/1976 0:00:00,128.05,55.05,"ICH","mc2","01","3",,,525,10.00,190,"MD"
"204751",,,,128.23,54.73,"CWH","ws1","01","4",,,195,3.00,,"LW"
"204951","Skeena Plots",,24/8/1976 0:00:00,128.00,55.17,"ICH","mc2","01","4",,,550,15.00,130,"MD"
"205150",,,,128.95,55.15,"CWH","ws2","01","4","D",,665,50.00,240,"MD"
"205551","Skeena Plots",,24/8/1976 0:00:00,127.74,54.99,"ICH","mc2","01","4",,,700,20.00,90,"MD"
"205651","Skeena Plots",,26/8/1976 0:00:00,127.67,55.00,"ICH","mc2","01","3",,,566,,,"UP"
"205950","DY",,7/6/1982 0:00:00,129.58,54.23,"CWH","vm1","01","4","C",,165,45.00,190,"MD"
"206051","Skeena Plots",,25/8/1976 0:00:00,128.29,54.97,"ICH","mc2","01","4",,,450,48.00,316,"MD"
"206251","Skeena Plots",,27/8/1976 0:00:00,128.17,55.09,"ICH","mc2","01","4",,,566,20.00,110,"MD"
"206550",,,1/7/1982 0:00:00,127.66,51.33,"CWH","vh2","01","4","B",,48,8.00,210,"LV"
"206850",,,4/7/1982 0:00:00,128.00,51.58,"CWH","vh2","01","4","C",,340,42.00,140,"MD"
"207150",,,6/7/1982 0:00:00,127.99,52.07,"CWH","vh2","01","4","C",,90,40.00,295,"UP"
"207350","DY",,22/7/1982 0:00:00,128.67,53.41,"CWH","vm1","01","4","C",,190,35.00,57,"UP"
"207850",,,26/7/1982 0:00:00,129.63,53.30,"CWH","vh2","01","3","C",,60,55.00,70,"UP"
"207-A","TFL3_PEM","poor",25/7/2000 0:00:00,117.96,49.58,"ICH","mw2","01","4","C",,1450,35.00,290,"MD"
"207-B","TFL3_PEM","poor",25/7/2000 0:00:00,117.83,49.59,"ICH","mw2","01","4","C",,1443,50.00,271,"MD"
"207-C","TFL3_PEM","poor",25/7/2000 0:00:00,117.96,49.58,"ICH","mw2","01","4","C",,1442,55.00,282,"MD"
"208050",,,28/7/1982 0:00:00,130.17,53.80,"CWH","vh2","01","4","C",,25,7.00,240,"LV"
"208550",,,28/8/1982 0:00:00,131.23,52.24,"CWH","vh2","01","4","C",,100,35.00,205,"MD"
"208850","EP822-05","oct",19/7/1983 0:00:00,127.14,53.00,"CWH","ms2","01","4","C",,390,40.00,70,"UP"
"209050","EP822-05","oct",20/7/1983 0:00:00,127.13,52.97,"CWH","ms2","01","3","B",,130,57.00,70,"MD"
"209650","BEC-PR",,,127.07,52.90,"CWH","ws2","01","4","C",,750,60.00,220,"UP"
"209750","EP822-05","oct",23/7/1983 0:00:00,127.07,52.90,"CWH","ms2","01","4","C",,600,70.00,300,"UP"
"209950","EP822-05","oct",23/7/1983 0:00:00,127.08,52.90,"CWH","ms2","01","3","B",,320,45.00,195,"UP"
"21^300","Bell_Pole_PEM","poor",6/4/2001 0:00:00,118.25,51.00,"ICH","mw3","01","4","C",,800,42.00,60,"MD"
"21^700","Bell_Pole_PEM","poor",6/4/2001 0:00:00,118.25,51.00,"ICH","mw3","01","4","C",,985,24.00,64,"TO"
"210150","BEC-PR",,24/7/1981 0:00:00,127.09,52.95,"MH","mm2","01","4","C",,1060,35.00,95,"UP"
"210350","EP822-05","oct",24/7/1983 0:00:00,127.11,52.97,"CWH","ms2","01","4","C",,350,15.00,310,"MD"
"210550","EP822-05","oct",25/7/1983 0:00:00,127.15,53.03,"CWH","ms2","01","4","C",,90,0.00,999,"LV"
"210750","EP822-05","oct",25/7/1983 0:00:00,127.15,53.02,"CWH","ms2","01","4","C",,150,35.00,325,"MD"
"211150","EP822-05","oct",26/7/1983 0:00:00,127.16,53.01,"CWH","ms2","01","3","B",,210,55.00,255,
"211350","EP822-05","oct",26/7/1983 0:00:00,127.16,53.01,"CWH","ms2","01","3","B",,160,47.00,225,"MD"
"215-B","TFL_23_PEM","no soils",25/8/2000 0:00:00,118.04,50.73,"ICH","mw3","01","4","C",,803,33.00,95,"MD"
