"plot","veg","cover"
"?791112","PSEUSPI",0.5
"?791112","SYMPALB",0.5
"?791112","TARAOFF",0.5
"?791121","ACHIMIL",2
"?791121","ALLICER",1
"?791121","AMELALN",12
"?791121","ANTENEG",1
"?791121","ARCTUVA",2
"?791121","ARNICOR",4
"?791121","CALARUB",3
"?791121","CLADONI",0.5
"?791121","FRAGVIR",0.5
"?791121","KOELMAC",1
"?791121","PELTCAN",0.5
"?791121","PINUPON",4.5
"?791121","PSEUMEN",36
"?791121","PSEUSPI",50
"?791121","SPIRBET",5
"?791121","SYMPALB",2
"?791121","TORTRUA",2
"?791123","ACHIMIL",1
"?791123","AMELALN",0.5
"?791123","ANTEMIC",0.5
"?791123","ARCTUVA",3
"?791123","ARNICOR",30
"?791123","CALARUB",40
"?791123","CARECOC",1
"?791123","DICRANU",0.5
"?791123","FRAGVIR",0.5
"?791123","GALIBOR",1
"?791123","LARIOCC",2
"?791123","LITHRUD",0.5
"?791123","MAHOAQU",2
"?791123","PELTCAN",0.5
"?791123","PINUCON",1
"?791123","PINUPON",42
"?791123","PSEUMEN",51
"?791123","SPIRBET",1
"?791123","SYMPALB",0.5
"?791123","TARAOFF",0.5
"?791123","VIOLADU",0.5
"?796927","ABIELAS",32
"?796927","ARNICOR",1
"?796927","BRACHYL",2
"?796927","CALARUB",0.5
"?796927","CHIMUMB",0.5
"?796927","CORNCAN",2
"?796927","DICRFUS",0.5
"?796927","DIPHCOM",0.5
"?796927","EQUIARV",0.5
"?796927","EURYCON",0.5
"?796927","GOODOBL",0.5
"?796927","HYLOSPL",0.5
"?796927","JUNICOM",0.5
"?796927","LARIOCC",3
"?796927","LINNBOR",0.5
"?796927","LONIINV",0.5
"?796927","LONIUTA",0.5
"?796927","MENZFER",1
"?796927","ORTHSEC",0.5
"?796927","OSMOBER",0.5
"?796927","PELTAPH",0.5
"?796927","PICEENE",47.5
"?796927","PINUCON",9
"?796927","PLEUSCH",75
"?796927","POLYJUN",0.5
"?796927","PTILCRI",1
"?796927","PYROCHL",0.5
"?796927","RIBELAC",0.5
"?796927","ROSAACI",0.5
"?796927","RUBUPAR",1
"?796927","SPIRBET",0.5
"?796927","VACCSCO",25
"?796927","VIOLORB",0.5
"?796931","ABIELAS",13.5
"?796931","ACERGLA",3
"?796931","ACTARUB",0.5
"?796931","ALNUVIR",1
"?796931","ARALNUD",0.5
"?796931","BRACHYL",2
"?796931","CALARUB",1
"?796931","CHIMUMB",0.5
"?796931","CORNCAN",4
"?796931","GALITRF",0.5
"?796931","GOODOBL",0.5
"?796931","LARIOCC",2
"?796931","LINNBOR",2
"?796931","LONIINV",0.5
"?796931","LYCOANN",1
"?796931","MENZFER",25
"?796931","MITENUD",0.5
"?796931","ORTHSEC",0.5
"?796931","OSMOBER",0.5
"?796931","PICEENE",53
"?796931","PINUCON",5
"?796931","PLEUSCH",40
"?796931","POLYJUN",0.5
"?796931","PROSTRA",0.5
"?796931","PSEUMEN",2
"?796931","PTILCRI",3
"?796931","PYROCHL",0.5
"?796931","RIBELAC",1
"?796931","ROSAACI",1
"?796931","RUBUPAR",3
"?796931","SPIRBET",0.5
"?796931","SYMPALB",0.5
"?796931","VACCSCO",3
"?796934","AMELALN",4
"?796934","ARCTUVA",0.5
"?796934","BRACHYT",0.5
"?796934","CALARUB",98
"?796934","CARECOC",1
"?796934","CHIMUMB",0.5
"?796934","FRAGVIR",0.5
"?796934","GOODOBL",0.5
"?796934","LARIOCC",2
"?796934","LINNBOR",0.5
"?796934","MAHOAQU",3
"?796934","PAXIMYR",1
"?796934","PINUCON",3
"?796934","PINUPON",20.5
"?796934","PSEUMEN",14.5
"?796934","ROSAGYM",4
"?796934","SALISCO",0.5
"?796934","SHEPCAN",6
"?796934","SPIRBET",3
"?796934","SYMPALB",0.5
"?796934","VACCMEM",0.5
"?796934","VACCSCO",1
"?796934","VIOLADU",0.5
"?801805","ACERGLA",1
"?801805","ACHIMIL",0.5
"?801805","AMELALN",1
"?801805","ANTEMIC",1
"?801805","ANTENEG",0.5
"?801805","ARCTUVA",0.5
"?801805","ARNICOR",0.5
"?801805","BRACHYT",0.5
"?801805","CALARUB",35
"?801805","CARECOC",0.5
"?801805","CERAPUR",0.5
"?801805","CLADPYX",0.5
"?801805","DICRPOL",0.5
"?801805","EURYCON",0.5
"?801805","FRAGVIR",1
"?801805","GALIBOR",0.5
"?801805","JUNICOM",0.5
"?801805","KOELMAC",0.5
"?801805","LATHOCH",0.5
"?801805","LITHRUD",0.5
"?801805","MAHOAQU",2
"?801805","PELTAPH",0.5
"?801805","PINUCON",31.5
"?801805","PLEUSCH",0.5
"?801805","POA PRA",0.5
"?801805","POLYJUN",0.5
"?801805","PSEUMEN",1
"?801805","ROSAACI",1
"?801805","SANIUNC",0.5
"?801805","SHEPCAN",25.5
"?801805","SPIRBET",10
"?801805","SYMPALB",15
"?801805","SYMPCII",0.5
"?801805","TARAOFF",0.5
"?801805","TRAGDUB",0.5
"?801805","VACCCAE",0.5
"?801805","VICIAME",0.5
"?801805","VIOLADU",0.5
"?801806","ACHIMIL",0.5
"?801806","AMELALN",3
"?801806","ANTENEG",1
"?801806","ANTERAC",1
"?801806","ARCTUVA",0.5
"?801806","ARNICOR",2
"?801806","CALARUB",5
"?801806","CARECOC",0.5
"?801806","DICRPOL",0.5
"?801806","ELYMGLA",0.5
"?801806","EURYCON",0.5
"?801806","FESTOCC",0.5
"?801806","FRAGVIR",0.5
"?801806","GALIBOR",0.5
"?801806","HIERALI",0.5
"?801806","JUNICOM",0.5
"?801806","LARIOCC",36
"?801806","LATHOCH",0.5
"?801806","LINNBOR",15
"?801806","LITHRUD",0.5
"?801806","MAHOAQU",7
"?801806","ORYZASP",0.5
"?801806","PELTAPH",0.5
"?801806","PINUCON",10.5
"?801806","PLEUSCH",0.5
"?801806","POA PRA",0.5
"?801806","PROSTRA",0.5
"?801806","PSEUMEN",13
"?801806","PYROCHL",0.5
"?801806","ROSAACI",1
"?801806","SHEPCAN",10
"?801806","SPIRBET",25
"?801806","SYMPALB",5
"?801806","TARAOFF",0.5
"?801806","VACCCAE",5
"?801806","VICIAME",1
"?801806","VIOLADU",0.5
"?801806","VIOLCAN",0.5
"?801809","ACHIMIL",1
"?801809","ANTENEG",0.5
"?801809","ANTERAC",1
"?801809","ARCTUVA",2
"?801809","ARNICOR",5
"?801809","ASTRMIS",0.5
"?801809","CALARUB",65
"?801809","EURYCON",3
"?801809","FRAGVIR",0.5
"?801809","GALIBOR",0.5
"?801809","JUNICOM",1
"?801809","KOELMAC",1
"?801809","LARIOCC",12.5
"?801809","LATHOCH",0.5
"?801809","LITHRUD",1
"?801809","MAHOAQU",4
"?801809","PINUCON",3
"?801809","PINUPON",5.5
"?801809","PSEUMEN",8
"?801809","RIBELAC",0.5
"?801809","SHEPCAN",2
"?801809","SPIRBET",3
"?801809","SYMPALB",1
"?801809","TARAOFF",0.5
"?801814","ACHIMIL",1
"?801814","ALLICER",0.5
"?801814","ANTENEG",0.5
"?801814","ANTERAC",0.5
"?801814","ARCTUVA",2
"?801814","ARNICOR",0.5
"?801814","ASTRMIS",0.5
"?801814","CALARUB",5
"?801814","EURYCON",1
"?801814","FESTOCC",0.5
"?801814","FRAGVIR",3
"?801814","JUNICOM",3
"?801814","KOELMAC",3
"?801814","LITHRUD",0.5
"?801814","MAHOAQU",30
"?801814","PINUPON",4.5
"?801814","POA PRA",0.5
"?801814","PSEUMEN",24
"?801814","PSEUSPI",0.5
"?801814","SHEPCAN",0.5
"?801814","SPIRBET",1
"?801814","SYMPALB",1
"?801824","ACERGLA",1
"?801824","ACHIMIL",0.5
"?801824","ALLICER",0.5
"?801824","AMELALN",0.5
"?801824","ANTEMIC",0.5
"?801824","ANTENEG",0.5
"?801824","ARCTUVA",0.5
"?801824","ARNICOR",3
"?801824","ARNILAT",0.5
"?801824","CALARUB",25
"?801824","CERAPUR",2
"?801824","EURYCON",0.5
"?801824","FRAGVIR",0.5
"?801824","GALIBOR",0.5
"?801824","JUNICOM",1
"?801824","KOELMAC",10
"?801824","LARIOCC",5
"?801824","MAHOAQU",3
"?801824","PELTCAN",0.5
"?801824","PSEUMEN",27
"?801824","PSEUSPI",10
"?801824","SHEPCAN",0.5
"?801824","SPIRBET",1
"?801824","STREAMP",0.5
"?801824","SYMPALB",6
"?801824","VIOLADU",0.5
"?801825","ACERGLA",14
"?801825","ACHIMIL",0.5
"?801825","AMELALN",4
"?801825","ANTEMIC",0.5
"?801825","ANTERAC",0.5
"?801825","ARCTUVA",0.5
"?801825","ARNICOR",0.5
"?801825","CALARUB",15
"?801825","CARECOC",1
"?801825","CLEMOCC",0.5
"?801825","EURYCON",2
"?801825","FRAGVES",1
"?801825","FRAGVIR",1
"?801825","GALIBOR",0.5
"?801825","GOODOBL",0.5
"?801825","HIERALI",0.5
"?801825","JUNICOM",0.5
"?801825","JUNISCO",0.5
"?801825","LARIOCC",7.5
"?801825","LATHOCH",0.5
"?801825","LINNBOR",0.5
"?801825","MAHOAQU",3
"?801825","PELTCAN",1
"?801825","PROSTRA",0.5
"?801825","PSEUMEN",38.5
"?801825","ROSAACI",4
"?801825","SHEPCAN",8
"?801825","SPIRBET",3
"?801825","SYMPALB",5
"?801825","TARAOFF",0.5
"?801825","VICIAME",0.5
"?801825","VIOLADU",0.5
"?801833","ACHIMIL",1
"?801833","ALLICER",0.5
"?801833","AMELALN",1
"?801833","ANTENEG",5
"?801833","ANTERAC",6
"?801833","ARCTUVA",1
"?801833","CALARUB",30
"?801833","CLADPYX",0.5
"?801833","FRAGVIR",15
