PlotNumber,SiteUnit,bgc
PH 107,CWH vm 3 /111.2,CWH vm 3
PH 105,CWH vm 3 /111.2,CWH vm 3
PH 104,CWH vm 3 /112.1,CWH vm 3
PH 102,CWH vm 3 /112.2,CWH vm 3
PH 101,CWH vm 3 /112.2,CWH vm 3
PH 100,CWH vm 3 /112.2,CWH vm 3
PH 097,CWH vh 1 /101,CWH vh 1
PH 096,CWH vh 1 /103,CWH vh 1
PH 095,CWH vh 2 /101,CWH vh 2
PH 094,CWH vh 2 /101,CWH vh 2
PH 092,CWH vm 3 /111.2,CWH vm 3
PH 084,CWH vh 2 /102,CWH vh 2
PH 083,CWH vh 2 /101,CWH vh 2
PH 082,CWH vh 2 /101,CWH vh 2
PH 081,CWH vh 2 /113,CWH vh 2
PH 080,CWH vh 2 /101,CWH vh 2
PH 079,CWH vh 2 /112,CWH vh 2
PH 078,CWH vh 2 /101,CWH vh 2
PH 073,CWH vh 2 /101,CWH vh 2
PH 072,CWH vh 2 /110,CWH vh 2
PH 070,CWH vh 2 /120.1,CWH vh 2
PH 068,CWH vh 1 /104,CWH vh 1
PH 067,CWH vh 1 /105,CWH vh 1
PH 065,CWH vh 1 /111,CWH vh 1
PH 064,CWH vh 1 /111,CWH vh 1
PH 063,CWH vh 1 /104,CWH vh 1
PH 062,CWH vh 1 /101,CWH vh 1
PH 059,CWH vh 1 /110,CWH vh 1
PH 056,CWH vh 2 /113,CWH vh 2
PH 055,CWH vh 2 /110,CWH vh 2
PH 053,CWH vh 2 /101,CWH vh 2
PH 052,CWH vh 2 /113,CWH vh 2
PH 051,CWH vh 2 /101,CWH vh 2
PH 050,CWH vh 2 /101,CWH vh 2
PH 049,CWH vh 2 /101,CWH vh 2
PH 047,CWH vh 2 /101,CWH vh 2
PH 040,CWH vm 3 /103,CWH vm 3
PH 038,CWH vm 3 /103,CWH vm 3
PH 037,CWH vm 3 /111.1,CWH vm 3
PH 036,CWH vm 3 /112.2,CWH vm 3
PH 031,CWH vh 2 /101,CWH vh 2
PH 030,CWH vh 2 /110,CWH vh 2
PH 028,CWH vh 2 /113,CWH vh 2
PH 023,CWH vm 3 /103,CWH vm 3
PH 022,CWH vm 3 /112.1,CWH vm 3
PH 020,CWH vm 3 /112.1,CWH vm 3
PH 019,CWH vm 3 /110,CWH vm 3
PH 014,CWH vm 3 /111.2,CWH vm 3
PH 010,CWH vm 3 /103,CWH vm 3
PD00430,IDF xx 2 /104,IDF xx 2
PD00420,ESSFdk 2 /101,ESSFdk 2
PD00417,MS  dk   /110,MS  dk
PD00415,MS  dk   /103,MS  dk
PD00410,MS  dw   /103,MS  dw
PD00408,ESSFdk 1 /103,ESSFdk 1
PD00404,ESSFdkw  /103,ESSFdkw
PD00383,ESSFdkw  /101,ESSFdkw
PD00381,ESSFdkw  /101,ESSFdkw
PD00369,IDF dm 2 /101,IDF dm 2
PD00363,IDF dm 2 /104,IDF dm 2
PD00359,IDF dm 2 /104,IDF dm 2
PD00358,IDF dm 2 /110,IDF dm 2
PD00357,IDF dm 2 /103,IDF dm 2
PD00351,IDF dm 2 /101,IDF dm 2
PD00349,IDF dm 2 /104,IDF dm 2
PD00347,IDF dm 2 /101,IDF dm 2
PA7267,MS  dk   /103,MS  dk
PA7258,MS  dk   /111,MS  dk
PA7249,MS  dk   /104,MS  dk
PA7220,MS  dk   /102,MS  dk
PA7215,MS  dk   /110,MS  dk
PA7213,MS  dk   /105,MS  dk
PA2075,MS  dk   /110,MS  dk
PA2045,ESSFdk 2 /104,ESSFdk 2
PA2043,ESSFdkw  /110,ESSFdkw
PA2028,ESSFdkw  /103,ESSFdkw
PA2015,MS  dk   /105,MS  dk
PA2012,MS  dk   /101,MS  dk
PA2008,MS  dk   /105,MS  dk
PA1070,ESSFdkw  /101,ESSFdkw
P801957,IDF xk   /103,IDF xk
P801926,MS  dk   /103,MS  dk
P801925,ESSFdk 2 /104,ESSFdk 2
P801924,ESSFdk 2 /102,ESSFdk 2
P801872,IDF dm 2 /104,IDF dm 2
P801871,IDF dm 2 /104,IDF dm 2
P801869,IDF dm 2 /112,IDF dm 2
P801854,MS  dk   /105,MS  dk
P801851,MS  dk   /110,MS  dk
P801850,MS  dk   /110,MS  dk
P801849,MS  dk   /110,MS  dk
P801847,ESSFdk 2 /101,ESSFdk 2
P801846,ESSFdk 2 /111,ESSFdk 2
P801845,MS  dk   /103,MS  dk
P801843,IDF dm 2 /101,IDF dm 2
P801842,MS  dk   /103,MS  dk
P801838,MS  dk   /105,MS  dk
P801836,ESSFdk 2 /111,ESSFdk 2
P801834,ESSFdk 2 /104,ESSFdk 2
P801832,MS  dk   /101,MS  dk
P801817,ESSFdk 2 /104,ESSFdk 2
P801815,ESSFdk 2 /111,ESSFdk 2
P801802,MS  dk   /110,MS  dk
P791190,IDF dm 2 /111,IDF dm 2
P791189,IDF dm 2 /101,IDF dm 2
P783876,ICH xw   /101,ICH xw
P783853,ICH dw 1 /101,ICH dw 1
ORE312,CWH dm 3 /113,CWH dm 3
ORE311,CWH dm 3 /113,CWH dm 3
ORE308,CWH dm 3 /113,CWH dm 3
ORE307,CWH dm 3 /113,CWH dm 3
ORE303,CWH dm 3 /113,CWH dm 3
ORE267,CWH dm 3 /113,CWH dm 3
ORE243,CWH dm 3 /103,CWH dm 3
ORE231,CWH dm 3 /103,CWH dm 3
ORE22C,CWH dm 3 /103,CWH dm 3
ORE22/6,CWH dm 3 /103,CWH dm 3
ORE154,CWH dm 3 /101,CWH dm 3
ORE152,CWH dm 3 /101,CWH dm 3
ORE150,CWH dm 3 /101,CWH dm 3
ORE149,CWH dm 3 /101,CWH dm 3
ORE148,CWH dm 3 /101,CWH dm 3
ORE143,CWH dm 3 /101,CWH dm 3
ORE142,CWH dm 3 /112,CWH dm 3
ORE141,CWH dm 3 /101,CWH dm 3
ORE128,CWH dm 3 /103,CWH dm 3
ORE125,CWH dm 3 /101,CWH dm 3
ORE124,CWH dm 3 /101,CWH dm 3
ORE116,CWH dm 3 /101,CWH dm 3
ORE114,CWH dm 3 /112,CWH dm 3
ORE111,CWH dm 3 /103,CWH dm 3
ORE110,CWH dm 3 /112,CWH dm 3
ORE106,CWH dm 3 /103,CWH dm 3
ORE105,CWH dm 3 /103,CWH dm 3
ORE099,CWH dm 3 /101,CWH dm 3
ORE098,CWH dm 3 /112,CWH dm 3
ORE085,CWH dm 3 /103,CWH dm 3
ORE084,CWH dm 3 /101,CWH dm 3
ORE071,CWH dm 3 /112,CWH dm 3
ORE070,CWH dm 3 /112,CWH dm 3
ORE069,CWH dm 3 /103,CWH dm 3
ORE067,CWH dm 3 /112,CWH dm 3
ORE066,CWH dm 3 /112,CWH dm 3
ORE065,CWH dm 3 /103,CWH dm 3
ORE060,CWH dm 3 /103,CWH dm 3
ORE046,CWH dm 3 /101,CWH dm 3
ORE044,CWH dm 3 /101,CWH dm 3
ORE042,CWH dm 3 /112,CWH dm 3
ORE025,CWH dm 3 /103,CWH dm 3
ORE019,CWH dm 3 /112,CWH dm 3
ORE004,CWH dm 1 /112,CWH dm 1
ORE003,CWH dm 1 /112,CWH dm 1
ORE001,CWH dm 1 /103,CWH dm 1
OL95GH6,ESSFmw 1 /110,ESSFmw 1
OL95GH5,ESSFmw 1 /104,ESSFmw 1
OL95DL7,ESSFdh 1 /104,ESSFdh 1
OL95DL6,ESSFmw 1 /101.1,ESSFmw 1
OL95DL3,ESSFmww  /110,ESSFmww
O826806,ICH mw 2 /103,ICH mw 2
O812292,ESSFwh 2 /104,ESSFwh 2
O812291,ESSFwh 2 /110,ESSFwh 2
O812250,ICH mw 2 /104,ICH mw 2
O812244,ICH mw 5 /112,ICH mw 5
O812243,ICH mw 2 /110,ICH mw 2
O812242,ICH mw 2 /101,ICH mw 2
O812234,ESSFwh 2 /104,ESSFwh 2
O812232,ESSFwh 2 /104,ESSFwh 2
O812231,ESSFwh 2 /110,ESSFwh 2
O812230,ICH dw 1 /103,ICH dw 1
O801887,MS  dk   /103,MS  dk
O801882,ESSFdk 2 /102,ESSFdk 2
O801881,ESSFdk 2 /104,ESSFdk 2
O801880,MS  dk   /103,MS  dk
O801878,ESSFdk 1 /101,ESSFdk 1
O801876,IDF dm 2 /103,IDF dm 2
O801873,MS  dw   /104,MS  dw
O801865,ESSFdk 2 /101,ESSFdk 2
O801864,ESSFdk 2 /104,ESSFdk 2
O801859,ESSFwm 2 /111,ESSFwm 2
O801857,MS  dk   /101,MS  dk
O4CH123,BWBSdk   /101,BWBSdk
O4CH122,BWBSdk   /110,BWBSdk
O4CH120,BWBSdk   /112,BWBSdk
O4CH119,BWBSdk   /101,BWBSdk
O4CH083,BWBSdk   /110,BWBSdk
O4CH080,BWBSdk   /101,BWBSdk
NTP-755,ESSFwcw  /101,ESSFwcw
NTP-752,ESSFwcw  /104.2,ESSFwcw
NR2Y7,CWH wm   /111.support,CWH wm
NR2Y62,CWH wm   /111.support,CWH wm
NR2Y60,MH  mm 1 /111.support,MH  mm 1
NR2Y56,MH  mm 1 /111.support,MH  mm 1
NR2Y53,MH  mm 2 /101.support,MH  mm 2
NR2Y34,CWH wm   /102,CWH wm
NR2Y20,MH  mm 2 /101.support,MH  mm 2
NR2Y12,CWH wm   /102,CWH wm
NR2Y11,CWH wm   /102,CWH wm
NR2M8,CWH wm   /102,CWH wm
NR2M60,MH  mm 1 /102.support,MH  mm 1
NR2M6,CWH wm   /111.support,CWH wm
NR2M53,CWH vh 2 /101.support,CWH vh 2
NR2M38,CWH wm   /111.support,CWH wm
NR2M36,CWH wm   /102,CWH wm
NR2M19,MH  mm 2 /101.support,MH  mm 2
NR2M16,CWH wm   /111.support,CWH wm
NR2M13,CWH wm   /111.support,CWH wm
NR2M10,MH  mm 1 /110.support,MH  mm 1
NR1G8,CWH vh 2 /101.support,CWH vh 2
NR1G7,CWH vh 2 /101.support,CWH vh 2
NR1G4,CWH vm 3 /113.support,CWH vm 3
NR1G15,CWH vh 2 /104.support,CWH vh 2
NR1G14,CWH vh 2 /101.support,CWH vh 2
NR1G13,CWH vh 2 /101.support,CWH vh 2
NR1F88,CWH vh 2 /112.support,CWH vh 2
NR1F84,CWH vh 2 /101.support,CWH vh 2
NR1F82,CWH vh 2 /101.support,CWH vh 2
NR1F72,CWH vh 2 /104.support,CWH vh 2
NR1F70,CWH vh 2 /104.support,CWH vh 2
NR1F7,CWH vh 2 /101.support,CWH vh 2
NR1F68,CWH vh 2 /101.support,CWH vh 2
NR1F63,CWH vh 2 /102.support,CWH vh 2
NR1F62,CWH vh 2 /120.2,CWH vh 2
NR1F59,CWH vh 2 /120.1,CWH vh 2
NR1F56,CWH vh 2 /104.support,CWH vh 2
NR1F5,CWH vh 2 /101.support,CWH vh 2
NR1F47,CWH vh 2 /111.support,CWH vh 2
NR1F46,CWH vh 2 /104.support,CWH vh 2
NR1F45,CWH vh 2 /101.support,CWH vh 2
NR1F30,CWH vm 3 /113.support,CWH vm 3
NR1F22,CWH vh 2 /101.support,CWH vh 2
NR1F2,CWH vh 2 /101.support,CWH vh 2
NR1F18,CWH vm 3 /113.support,CWH vm 3
NR1F17,CWH vm 3 /101.support,CWH vm 3
NR1F15,CWH vh 2 /101.support,CWH vh 2
NR1F14,CWH vm 4 /110.support,CWH vm 4
NR1F104,CWH vh 2 /101.support,CWH vh 2
NR1F102,CWH vh 2 /111.support,CWH vh 2
NR1B71,CWH vh 2 /104.support,CWH vh 2
NR1B70,CWH vh 2 /101.support,CWH vh 2
NR1B68,CWH vh 2 /101.support,CWH vh 2
NR1B61,CWH vh 2 /101.support,CWH vh 2
NR1B60,CWH vh 2 /102.support,CWH vh 2
NR1B56,CWH vh 2 /101.support,CWH vh 2
NR1B55,CWH vh 2 /102.support,CWH vh 2
NR1B52,CWH vh 2 /101.support,CWH vh 2
NR1B50,CWH vh 2 /105.support,CWH vh 2
NR1B48,CWH vh 2 /102.support,CWH vh 2
NR1B47,CWH vh 2 /103.support,CWH vh 2
NR1B45,CWH vh 2 /104.support,CWH vh 2
NR1B44,CWH vh 2 /101.support,CWH vh 2
NR1B43,CWH vh 2 /111.support,CWH vh 2
NR1B42,CWH vh 2 /104.support,CWH vh 2
NR1B41,CWH vh 2 /103.support,CWH vh 2
NR1B40,CWH vh 2 /101.support,CWH vh 2
NR1B35,CWH vh 2 /101.support,CWH vh 2
NR1B33,CWH vh 2 /104.support,CWH vh 2
NR1B31,CWH vh 2 /101.support,CWH vh 2
NR1B29,CWH vh 2 /104.support,CWH vh 2
NR1B27,CWH vm 4 /101.support,CWH vm 4
NR1B25,CWH vm 3 /113.support,CWH vm 3
NR1B23,CWH vm 3 /113.support,CWH vm 3
NR1B2,CWH vh 2 /103.support,CWH vh 2
NR1B19,CWH vm 3 /113.support,CWH vm 3
NPSP041,ICH mw 5 /104,ICH mw 5
NPSP033,MS  dw   /104,MS  dw
NPSP008,ESSFmh   /111,ESSFmh
NPSP007,ICH mw 5 /104,ICH mw 5
NM2153,CWH vm 3 /103,CWH vm 3
NM2149,CWH vh 2 /101,CWH vh 2
NM2148,CWH vh 2 /101,CWH vh 2
NM2145,CWH vm 3 /102.support,CWH vm 3
NM2144,CWH vm 4 /113,CWH vm 4
NM2141,MH  mm 1 /101a,MH  mm 1
NM2137,CWH vm 1 /103,CWH vm 1
NM2135,CWH vm 1 /101,CWH vm 1
NM2133,CWH vm 1 /111.1,CWH vm 1
NM2132,CWH ms 2 /101,CWH ms 2
NM2131,CWH ms 2 /101,CWH ms 2
NM2130,CWH ms 1 /101,CWH ms 1
NM2127,CWH dm 2 /104,CWH dm 2
NM2122,CWH ds 1 /110,CWH ds 1
NM2120,CWH ds 1 /101a,CWH ds 1
NM2119,CWH ms 1 /101,CWH ms 1
NM2118,MH  mm 2 /101a,MH  mm 2
NM2116,CWH ms 1 /101,CWH ms 1
NM2112,CWH vm 2 /101,CWH vm 2
NM2110,MH  mm 1 /101a,MH  mm 1
NM2100,MH  mm 2 /101a,MH  mm 2
NM2099,CWH ws 2 /101,CWH ws 2
NM2091,CWH ws 2 /101,CWH ws 2
NM2090,CWH ws 2 /101,CWH ws 2
NM2089,CWH ms 1 /101,CWH ms 1
NM2088,MH  mm 2 /101a,MH  mm 2
NM2087,CWH ms 1 /101,CWH ms 1
NM2086,MH  mm 2 /101a,MH  mm 2
NM2085,CWH ds 1 /101a,CWH ds 1
NM2084,CWH ms 1 /101,CWH ms 1
NM2082,CWH ds 1 /101a,CWH ds 1
NM2081,CWH ds 1 /103,CWH ds 1
NM2080,CWH ms 1 /101,CWH ms 1
NM2078,IDF ww 1 /101.1,IDF ww 1
NM2074,IDF ww 1 /101.1,IDF ww 1
NM2072,CWH ms 3 /101.1,CWH ms 3
NM2071,CWH ds 1 /103,CWH ds 1
NM2064,CWH ms 1 /101,CWH ms 1
NM2063,CWH ms 1 /101,CWH ms 1
NM2062,CWH ms 2 /110,CWH ms 2
NM2061,CWH ms 2 /101,CWH ms 2
NM2055,MH  mm 2 /101a,MH  mm 2
NM2053,MH  mm 2 /101a,MH  mm 2
NM2051,CWH ds 1 /101a,CWH ds 1
NM2049,MH  mm 2 /101a,MH  mm 2
NM2048,CWH ms 2 /101,CWH ms 2
NM2046,CWH vm 2 /111.1,CWH vm 2
NM2045,CWH dm 1 /103,CWH dm 1
NM2042,CWH dm 1 /103,CWH dm 1
NM2040,CWH mm 1 /101,CWH mm 1
NM2032,CWH vm 1 /101,CWH vm 1
NM2031,CWH mm 2 /110,CWH mm 2
NM2030,CWH vm 1 /105,CWH vm 1
NM2029,CWH vm 2 /111.1,CWH vm 2
NM2026,CWH vm 2 /103,CWH vm 2
NM2017,CWH dm 2 /104,CWH dm 2
NM2016,CWH dm 2 /104,CWH dm 2
NM2015,CWH vm 1 /110,CWH vm 1
NM2014,CWH vm 2 /101,CWH vm 2
NM2012,MH  mm 1 /101a,MH  mm 1
NM2010,CWH vm 1 /101,CWH vm 1
NM2003,CWH vm 2 /111.1,CWH vm 2
NFI460,ICH mw 5 /104,ICH mw 5
NFI187,ICH dw 1 /104,ICH dw 1
NFI0273,MS  dk   /103,MS  dk
NFI0162,ICH dm   /102b,ICH dm
NFI0114,IDF dm 2 /103,IDF dm 2
NFI0089,ESSFwh 1 /103,ESSFwh 1
NFI0030,ESSFwmw  /103,ESSFwmw
NFI0004,ESSFwc 4 /102,ESSFwc 4
NCCK99,ESSFdk 1 /103,ESSFdk 1
NCCK94,MS  dw   /101,MS  dw
NCCK86,MS  dw   /104,MS  dw
NCCK78,MS  dw   /104,MS  dw
NCCK70,ICH mk 4 /103,ICH mk 4
NCCK63,ICH mk 4 /112,ICH mk 4
NCCK46,ICH mk 4 /102,ICH mk 4
NCCK268,ICH mk 4 /101,ICH mk 4
NCCK26,ICH mk 4 /103,ICH mk 4
NCCK253,ICH mk 4 /110,ICH mk 4
NCCK243,ICH mk 4 /101,ICH mk 4
NCCK23,ICH mk 4 /112,ICH mk 4
NCCK213,ICH mk 4 /110,ICH mk 4
NCCK190,MS  dw   /104,MS  dw
NCCK185,MS  dw   /101,MS  dw
NCCK144,ICH mk 4 /103,ICH mk 4
NCCK131,ESSFdk 1 /101,ESSFdk 1
NCCK127,ESSFdkw  /101,ESSFdkw
NCCK122,ESSFdk 1 /103,ESSFdk 1
NCCK116,ESSFdk 1 /111,ESSFdk 1
NCCK115,ESSFdk 1 /101,ESSFdk 1
NCCK114,ESSFdk 1 /101,ESSFdk 1
NCCK11,ICH mk 4 /101,ICH mk 4
NCCK108,MS  dw   /110,MS  dw
NCCK100,ESSFdk 1 /101,ESSFdk 1
NCCK1,ICH mk 4 /112,ICH mk 4
NB513,SWB mk   /07,SWB mk
NB510,SWB mk   /05,SWB mk
NB509,BWBSmk   /101,BWBSmk
NB508,SWB mk   /08,SWB mk
NB506,SWB mk   /07,SWB mk
NB505,SWB mk   /04,SWB mk
NB503,SWB mk   /09,SWB mk
NB498,SWB mk   /01,SWB mk
NB490,SWB mk   /05,SWB mk
NB470,SWB mk   /07,SWB mk
NB464,SWB mk   /04,SWB mk
NB459,SWB mk   /06,SWB mk
NB455,SWB mk   /09,SWB mk
NB454,SWB mk   /07,SWB mk
NB445,SWB mk   /06,SWB mk
NB432,SWB mk   /03,SWB mk
NB431,BWBSmk   /112,BWBSmk
NB427,SWB mk   /07,SWB mk
NB404,SWB mk   /01,SWB mk
NB402,SWB mk   /04,SWB mk
NB400,SWB mk   /04,SWB mk
N99G21,ESSFdk 1 /110,ESSFdk 1
N99G07,ESSFdk 1 /104,ESSFdk 1
N823798,ICH mw 2 /104,ICH mw 2
N823797,ICH mw 2 /111.1,ICH mw 2
N823794,ICH mw 2 /104,ICH mw 2
N812248,ICH mw 2 /104,ICH mw 2
N812247,ESSFwc 4 /102,ESSFwc 4
N812239,ESSFwcw  /101,ESSFwcw
N812237,ICH mw 2 /110,ICH mw 2
N812235,ESSFwh 1 /110.1,ESSFwh 1
N812154,ICH mw 2 /110,ICH mw 2
N812152,ICH mw 2 /111.1,ICH mw 2
N812151,ICH mw 2 /101,ICH mw 2
N812142,ICH mw 2 /111.1,ICH mw 2
N812136,ICH mw 2 /104,ICH mw 2
N812132,ICH mw 2 /101,ICH mw 2
N812130,ICH mw 2 /101,ICH mw 2
N812113,ICH mw 2 /113,ICH mw 2
N812102,ICH mw 2 /112,ICH mw 2
N812090,ESSFwc 4 /103b,ESSFwc 4
N812087,ICH mw 2 /104,ICH mw 2
N812080,ICH mw 2 /104,ICH mw 2
N812030,ICH mw 2 /104,ICH mw 2
N801892,ESSFdk 2 /111,ESSFdk 2
N770315,ESSFwc 4 /111,ESSFwc 4
N770314,ESSFwc 4 /103b,ESSFwc 4
N770304,ESSFwc 4 /102,ESSFwc 4
N770303,ESSFwc 4 /110,ESSFwc 4
N770302,ESSFwh 1 /103,ESSFwh 1
N714776,ICH mw 4 /112,ICH mw 4
N706211,ESSFwm 4 /101,ESSFwm 4
N123309,IDF xx 2 /102,IDF xx 2
N123301,ICH mw 5 /103,ICH mw 5
N094138,ICH dw 1 /104,ICH dw 1
N094126,ICH dw 1 /104,ICH dw 1
N08636b,ICH xw   /103,ICH xw
N08625a,ICH xw  a/103,ICH xw  a
N08624a,ICH xw  a/103,ICH xw  a
N086088,ESSFwm 2 /110,ESSFwm 2
N086086,ESSFwm 2 /101,ESSFwm 2
N083331,ESSFwh 3 /111,ESSFwh 3
N083329,ESSFwh 2 /110,ESSFwh 2
N083328,ICH mw 2 /111.1,ICH mw 2
N076496,ESSFwm 3 /101,ESSFwm 3
N076495,ESSFwm 3 /111,ESSFwm 3
N076488,ESSFwh 3 /103,ESSFwh 3
N076487,ESSFwh 3 /111,ESSFwh 3
N076481,ESSFwm 2 /102,ESSFwm 2
N076479,ESSFwm 3 /103,ESSFwm 3
N076478,ESSFwm 3 /105,ESSFwm 3
N076473,ESSFwm 4 /103.1,ESSFwm 4
N076472,ESSFwm 4 /102,ESSFwm 4
N076469,ESSFwm 4 /103.2,ESSFwm 4
N076463,ESSFwm 3 /101,ESSFwm 3
N076461,ESSFwmw  /101,ESSFwmw
N076451,ESSFwm 3 /105,ESSFwm 3
N076442,ESSFwm 4 /101,ESSFwm 4
N076441,ESSFwm 4 /111,ESSFwm 4
N076434,ESSFwmw  /101,ESSFwmw
N076422,ESSFwmw  /102,ESSFwmw
N076099,ESSFwm 3 /112,ESSFwm 3
N076098,ESSFwm 3 /111,ESSFwm 3
N076097,ESSFwm 4 /101,ESSFwm 4
N076096,ESSFwm 4 /102,ESSFwm 4
N076095,ESSFwm 4 /101,ESSFwm 4
N076094,ESSFwm 4 /110,ESSFwm 4
N076093,ESSFwm 4 /101,ESSFwm 4
N076092,ESSFwm 4 /110,ESSFwm 4
N076091,ESSFwm 4 /103.1,ESSFwm 4
N076090,ESSFwm 3 /103,ESSFwm 3
N076089,ESSFwh 3 /111,ESSFwh 3
N076068,ICH dm   /112,ICH dm
N076067,ESSFwm 4 /101,ESSFwm 4
N076066,ESSFwm 3 /101,ESSFwm 3
N076065,ESSFwm 4 /101,ESSFwm 4
N076064,ESSFwmw  /110,ESSFwmw
N076061,ESSFwmw  /103,ESSFwmw
N076060,ESSFwmw  /101,ESSFwmw
N076059,ESSFwmw  /101,ESSFwmw
N076057,ESSFwh 3 /101,ESSFwh 3
N076056,ESSFwh 3 /104.2,ESSFwh 3
N076055,ESSFwh 3 /111,ESSFwh 3
N076053,ICH xw   /101,ICH xw
N076050,ICH xw   /101,ICH xw
N076049,ICH xw   /103,ICH xw
N076048,ICH mw 4 /104.1,ICH mw 4
N076047,ICH mw 4 /104.2,ICH mw 4
N076045,ESSFwh 3 /104.1,ESSFwh 3
N076044,ESSFwh 3 /104.1,ESSFwh 3
N076043,ICH dw 1 /101,ICH dw 1
N076041,ICH mw 4 /110,ICH mw 4
N076038,ESSFwc 4 /110,ESSFwc 4
N076037,ESSFwc 4 /111,ESSFwc 4
N076034,ESSFwh 3 /111,ESSFwh 3
N076033,ESSFwh 3 /104.2,ESSFwh 3
N076032,ESSFwh 2 /110,ESSFwh 2
N076031,ESSFwh 3 /101,ESSFwh 3
N076030,ESSFwm 2 /110,ESSFwm 2
N076024,ESSFwm 3 /111,ESSFwm 3
N076023,ESSFwm 3 /101,ESSFwm 3
N076022,ICH mw 4 /112,ICH mw 4
N076021,ESSFwh 3 /101,ESSFwh 3
N076020,ESSFwh 3 /101,ESSFwh 3
N076019,ESSFwh 3 /101,ESSFwh 3
N076018,ESSFwh 3 /110,ESSFwh 3
N076017,ESSFwh 3 /104.1,ESSFwh 3
N076016,ESSFwh 3 /103,ESSFwh 3
N076015,ESSFwh 3 /101,ESSFwh 3
N076014,ESSFwh 3 /104.2,ESSFwh 3
N076013,ESSFwh 3 /110,ESSFwh 3
N076012,ESSFwm 3 /111,ESSFwm 3
N076011,ESSFwm 3 /105,ESSFwm 3
N076010,ESSFwm 3 /102,ESSFwm 3
N076009,ICH mw 2 /103,ICH mw 2
N076008,ESSFwh 1 /103,ESSFwh 1
N076007,ESSFwc 4 /101,ESSFwc 4
N076006,ICH mw 2 /101,ICH mw 2
N076005,ICH mw 2 /104,ICH mw 2
N076003,ESSFwh 1 /110.2,ESSFwh 1
N076001,ICH mw 2 /111.1,ICH mw 2
N075587,ESSFwm 4 /111,ESSFwm 4
N075579,ESSFwm 3 /103,ESSFwm 3
N075578,ESSFwm 3 /111,ESSFwm 3
N075555,ESSFwmw  /110,ESSFwmw
N075554,ESSFwmw  /101,ESSFwmw
N075553,ESSFwmw  /103,ESSFwmw
N075100,ESSFdc 1 /102,ESSFdc 1
N075099,ESSFmh   /112b,ESSFmh
N075098,ESSFwmw  /103,ESSFwmw
N075096,ESSFwmw  /103,ESSFwmw
N075093,ESSFwmw  /110,ESSFwmw
N075091,ESSFwm 2 /111,ESSFwm 2
N075076,ESSFmh   /110,ESSFmh
N075065,ESSFwm 2 /103,ESSFwm 2
N075063,ESSFwm 2 /102,ESSFwm 2
N075060,ESSFwm 2 /101,ESSFwm 2
N075059,ESSFwm 2 /111,ESSFwm 2
N075058,ESSFwm 2 /112,ESSFwm 2
N075053,ESSFwh 3 /102,ESSFwh 3
N075050,ESSFwh 3 /111,ESSFwh 3
N075049,ESSFwh 3 /104.1,ESSFwh 3
N075044,ESSFwcw  /110,ESSFwcw
N075002,ESSFwm 4 /111,ESSFwm 4
N075001,ESSFwm 4 /103.1,ESSFwm 4
N074500,ESSFwm 3 /112,ESSFwm 3
N074499,ESSFwm 3 /105,ESSFwm 3
N074498,ICH dw 1 /112,ICH dw 1
N074495,ESSFwh 1 /103,ESSFwh 1
N074493,ESSFwc 4 /103b,ESSFwc 4
N074492,ICH dw 1 /104,ICH dw 1
N074491,ICH mw 4 /104.2,ICH mw 4
N074489,ICH mw 4 /103,ICH mw 4
N074488,ICH mw 4 /110,ICH mw 4
N074487,ICH mw 4 /102,ICH mw 4
N074486,ICH mw 4 /114,ICH mw 4
N074484,ICH mw 4 /112,ICH mw 4
N074483,ESSFwh 3 /101,ESSFwh 3
N074482,ICH mw 4 /101,ICH mw 4
N074481,ESSFwh 3 /104.2,ESSFwh 3
N074480,ESSFwh 3 /110,ESSFwh 3
N074479,ESSFwm 3 /110,ESSFwm 3
N074478,ESSFwm 3 /110,ESSFwm 3
N074475,ESSFwm 3 /105,ESSFwm 3
N074473,ESSFwm 3 /111,ESSFwm 3
N074472,ESSFwmw  /101,ESSFwmw
N074469,ESSFwmw  /101,ESSFwmw
N074466,ESSFwm 3 /101,ESSFwm 3
N074465,ESSFwm 4 /101,ESSFwm 4
N074463,ESSFwm 4 /102,ESSFwm 4
N074460,ESSFwm 4 /111,ESSFwm 4
N074459,ESSFwh 3 /112,ESSFwh 3
N074458,ESSFwm 3 /103,ESSFwm 3
N074457,ESSFwm 3 /105,ESSFwm 3
N074456,ESSFwm 4 /103.2,ESSFwm 4
N074455,ESSFwm 4 /103.2,ESSFwm 4
N074453,ICH mw 4 /110,ICH mw 4
N074452,ICH mw 4 /101,ICH mw 4
N074451,ICH mw 4 /112,ICH mw 4
N074450,ESSFwh 3 /104.1,ESSFwh 3
N074449,ESSFwh 3 /103,ESSFwh 3
N074448,ESSFwm 3 /110,ESSFwm 3
N074445,ICH xw  a/104,ICH xw  a
N074444,ICH xw  a/101,ICH xw  a
N074443,ICH xw   /101,ICH xw
N074442,ESSFwh 3 /110,ESSFwh 3
N074441,ESSFwh 3 /104.1,ESSFwh 3
N074440,ESSFwm 3 /103,ESSFwm 3
N074439,ESSFwh 3 /110,ESSFwh 3
N074438,ESSFwh 3 /102,ESSFwh 3
N074435,ESSFwm 3 /101,ESSFwm 3
N074434,ICH mw 4 /101,ICH mw 4
N074433,ICH mw 4 /112,ICH mw 4
N074432,ICH mw 4 /104.2,ICH mw 4
