"","spp","SS_NoSpace","newfeas","abund"
"162","Se","ESSFmc/06","4",12
"163","Se","ESSFmc/08","4",23.5
"164","Se","ESSFmcw/102","4",1.57142857142857
"165","Se","ESSFmcw/110","4",0.384615384615385
"166","Se","ESSFmh/101","4",11.7083333333333
"167","Se","ESSFmh/103","4",3.09090909090909
"168","Se","ESSFmh/104","4",19.3333333333333
"169","Se","ESSFmh/105","4",11.1818181818182
"170","Se","ESSFmh/110","4",18.5789473684211
"171","Se","ESSFmh/111","4",9.41666666666667
"172","Se","ESSFmk/06","4",11.5
"173","Se","ESSFmm1/01","4",20.7857142857143
"174","Se","ESSFmm1/04","4",9.2
"175","Se","ESSFmm1/05","4",17.375
"176","Se","ESSFmm1/06","4",24.625
"177","Se","ESSFmv1/01","4",6.76470588235294
"178","Se","ESSFmv1/03","4",9.13749998807907
"179","Se","ESSFmv1/04","4",14.3333333333333
"180","Se","ESSFmv2/01","4",13.6428571428571
"181","Se","ESSFmv2/04","4",9.75
"182","Se","ESSFmv3/01","4",12.1577777778109
"183","Se","ESSFmv3/02","4",3.66666666666667
"184","Se","ESSFmv3/04","4",13.5714285714286
"185","Se","ESSFmv3/05","4",19
"186","Se","ESSFmv3/06","4",27.3333333333333
"187","Se","ESSFmv3/07","4",8
"188","Se","ESSFmv4/01","4",12
"189","Se","ESSFmv4/03","4",6
"190","Se","ESSFmv4/04","4",20.6
"191","Se","ESSFmw1/102.1","4",0.333333333333333
"192","Se","ESSFmw1/103","4",5.85714285714286
"193","Se","ESSFmw1/104","4",0.349999994039536
"194","Se","ESSFmw1/105","4",12
"195","Se","ESSFmw1/110","4",34.5
"196","Se","ESSFmw1/111","4",17
"197","Se","ESSFmww/101","4",5.11111111111111
"198","Se","ESSFwc2/01","4",15.6363636363636
"199","Se","ESSFwc2/03","4",25.25
"200","Se","ESSFwc2/04","4",20.6666666666667
"201","Se","ESSFwc2/05","4",13.6666666666667
"202","Se","ESSFwc2/06","4",17.25
"203","Se","ESSFwc2/07","4",17
"204","Se","ESSFwc2/08","4",18.3333333333333
"205","Se","ESSFwc4/101","4",13.103333346049
"206","Se","ESSFwc4/102","4",8.85000006357829
"207","Se","ESSFwc4/103a","4",11.7777777777778
"208","Se","ESSFwc4/103b","4",8.65500001907349
"209","Se","ESSFwc4/110","4",21.1937499046326
"210","Se","ESSFwc4/111","4",15.2941176470588
"211","Se","ESSFwc4/112","4",13.5
"212","Se","ESSFwcw/101","4",5.61764705882353
"213","Se","ESSFwcw/103","4",3.76666666666667
"214","Se","ESSFwcw/110","4",8.66666666666667
"215","Se","ESSFwh1/101","4",10.6714285714286
"216","Se","ESSFwh1/102","4",4.8
"217","Se","ESSFwh1/103","4",5.08333333333333
"218","Se","ESSFwh1/104","4",9.8125
"219","Se","ESSFwh1/111","4",21.75
"220","Se","ESSFwh2/101","4",10.6470588235294
"221","Se","ESSFwh2/102","4",5.5
"222","Se","ESSFwh2/103","4",3.33333333333333
"223","Se","ESSFwh2/104","4",12.4666666666667
"224","Se","ESSFwh2/110","4",19.8333333333333
"225","Se","ESSFwh2/111","4",11.6666666666667
"226","Se","ESSFwh2/112","4",33
"227","Se","ESSFwh3/101","4",11.4444444444444
"228","Se","ESSFwh3/102","4",2.5
"229","Se","ESSFwh3/103","4",4.55555555555556
"230","Se","ESSFwh3/110","4",13.375
"231","Se","ESSFwh3/111","4",15.8947368421053
"232","Se","ESSFwh3/112","4",22
"233","Se","ESSFwk2/01","4",13.6
"234","Se","ESSFwk2/02","4",28
"235","Se","ESSFwk2/03","4",24.1428571428571
"236","Se","ESSFwk2/05","4",3
"237","Se","ESSFwm1/101","4",8.075
"238","Se","ESSFwm1/102","4",2.2
"239","Se","ESSFwm1/103","4",6.9
"240","Se","ESSFwm1/104","4",4.9
"241","Se","ESSFwm1/110","4",14.4285714285714
"242","Se","ESSFwm1/111","4",7.77777777777778
"243","Se","ESSFwm1/112","4",9
"244","Se","ESSFwm2/101","4",11.875
"245","Se","ESSFwm2/102","4",3
"246","Se","ESSFwm2/103","4",9.64285714285714
"247","Se","ESSFwm2/104","4",5.2
"248","Se","ESSFwm2/110","4",16.5882352941176
"249","Se","ESSFwm2/111","4",15
"250","Se","ESSFwm2/112","4",13
"251","Se","ESSFwm3/101","4",8.85
"252","Se","ESSFwm3/102","4",4.25
"253","Se","ESSFwm3/103","4",6.26086956521739
"254","Se","ESSFwm3/104","4",5.35714285714286
"255","Se","ESSFwm3/105","4",12.7692307692308
"256","Se","ESSFwm3/110","4",11.6363636363636
"257","Se","ESSFwm3/111","4",10.5294117647059
"258","Se","ESSFwm3/112","4",12
"259","Se","ESSFwm4/101","4",11.3333333333333
"260","Se","ESSFwm4/102","4",2.1
"261","Se","ESSFwm4/110","4",12.2222222222222
"262","Se","ESSFwm4/111","4",16.2
"263","Se","ESSFwmw/101","4",3.32
"264","Se","ESSFwmw/102","4",2.75
"265","Se","ESSFwmw/103","4",3.25
"266","Se","ESSFwmw/110","4",10.875
"267","Se","ESSFwv/01","4",0.875
"268","Se","ESSFxc1/101","4",22.4
"269","Se","ESSFxc1/103","4",2.41666666666667
"270","Se","ESSFxc1/104","4",7.8
"271","Se","ESSFxc1/105","4",12.25
"272","Se","ESSFxc1/110","4",11.2222222222222
"273","Se","ESSFxc1/111","4",13.5666666030884
"274","Se","ESSFxc1/112","4",41
"275","Se","ESSFxc1/113","4",17.5
"276","Se","ESSFxc2/101","4",10.5625
"277","Se","ESSFxc2/110","4",15.625
"278","Se","ESSFxc2/111","4",11
"279","Se","ESSFxcw/101","4",17.5800000031789
"280","Se","ESSFxcw/103","4",7.14285714285714
"281","Se","ESSFxcw/110","4",13.3333333333333
"282","Se","ICHdm/101","4",4.11111111111111
"283","Se","ICHdm/103","4",1.45833333333333
"284","Se","ICHdm/110","4",4.15000000596046
"285","Se","ICHdm/111","4",7
"286","Se","ICHdm/112","4",21
"287","Se","ICHdw1/101","4",0.538461538461538
"288","Se","ICHdw1/104","4",0.10655737704918
"289","Se","ICHdw1/110","4",1.28571428571429
"290","Se","ICHdw1/111","4",2.53846153846154
"291","Se","ICHdw1/112","4",1.5
"292","Se","ICHdw4/111","4",7.5
"293","Se","ICHmk1/101","4",11.2666666666667
"294","Se","ICHmk1/103","4",0.4
"295","Se","ICHmk1/104","4",8.25
"296","Se","ICHmk1/105","4",5.8
"297","Se","ICHmk1/110","4",18.1428571428571
"298","Se","ICHmk1/111","4",8.14285714285714
"299","Se","ICHmk1/112","4",29
"300","Se","ICHmk4/101","4",13.5333333333333
"301","Se","ICHmk4/103","4",5.25
"302","Se","ICHmk4/110","4",10.2233333587646
"303","Se","ICHmk4/111","4",10.7142857142857
"304","Se","ICHmk4/112","4",10
"305","Se","ICHmm/01","4",25
"306","Se","ICHmm/03","4",4.25
"307","Se","ICHmm/04","4",5.83333333333333
"308","Se","ICHmm/05","4",5.4
"309","Se","ICHmw2/101","4",0.176470588235294
"310","Se","ICHmw2/104","4",0.0869565217391304
"311","Se","ICHmw2/110","4",1.25
"312","Se","ICHmw2/112","4",14.5
"313","Se","ICHmw3/01","4",2.15909090909091
"314","Se","ICHmw3/04","4",0.214285714285714
"315","Se","ICHmw3/05","4",0.666666666666667
"316","Se","ICHmw3/07","4",2.5
"317","Se","ICHmw4/101","4",1.65
"318","Se","ICHmw4/103","4",0.200999999977648
"319","Se","ICHmw4/110","4",3.26733333331843
"320","Se","ICHmw4/111","4",21.3333333333333
"321","Se","ICHmw4/112","4",3.25
"322","Se","ICHmw4/113","4",30.6666666666667
"323","Se","ICHmw4/114","4",21.3333333333333
"324","Se","ICHmw5/101","4",3.75
"325","Se","ICHmw5/104","4",3.41666666666667
"326","Se","ICHmw5/110","4",4.4
"327","Se","ICHmw5/112","4",18
"328","Se","ICHvk2/01","4",6.5
"329","Se","ICHvk2/03","4",10
"330","Se","ICHvk2/04","4",4
"331","Se","ICHvk2/06","4",3
"332","Se","ICHwk3/01","4",2.66666666666667
"333","Se","ICHwk3/03","4",12.5
"334","Se","ICHwk3/07","4",13
"335","Se","ICHwk4/04","4",4
"336","Se","ICHwk4/08","4",22
"337","Se","ICHxm1/101","4",0.318181818181818
"338","Se","ICHxm1/110","4",4.33333333333333
"339","Se","ICHxm1/111","4",15
"340","Se","ICHxw/101","4",0.0666666666666667
