"","bgc","ss_nospace","suitability","spp","newsuit","mod","outrange","PlotNumber","Species","TotalA","TotalB","NutrientRegime_clean","MoistureRegime_clean","Elevation","SlopeGradient","Aspect","MesoSlopePosition","Latitude","Longitude","SuccessionalStatus","StructuralStage","SiteUnit","newsuit_ord","TotalAB"
"1010","CWHds1","CWHds1/101",NA,"Yc",2,"inputed",NA,"T38-090","CALLNOO",12,0,"C",4,590,12,287,"MD",50.36956547,-123.55751067,NA,"7",NA,"2",12
"1011","CWHds1","CWHds1/101a",NA,"Yc",2,"inputed",NA,"T38-090","CALLNOO",12,0,"C",4,590,12,287,"MD",50.36956547,-123.55751067,NA,"7",NA,"2",12
"1012","CWHds1","CWHds1/101",NA,"Ba",2,"inputed",NA,"T38-090","ABIEAMA",12,0,"C",4,590,12,287,"MD",50.36956547,-123.55751067,NA,"7",NA,"2",12
"1013","CWHds1","CWHds1/101a",NA,"Ba",2,"inputed",NA,"T38-090","ABIEAMA",12,0,"C",4,590,12,287,"MD",50.36956547,-123.55751067,NA,"7",NA,"2",12
"1016","CWHds1","CWHds1/101",NA,"Ba",2,"inputed",NA,"T38-089","ABIEAMA",20,0,"C",4,420,50,30,"MD",50.26041244,-123.64200138,NA,"7",NA,"2",20
"1017","CWHds1","CWHds1/101a",NA,"Ba",2,"inputed",NA,"T38-089","ABIEAMA",20,0,"C",4,420,50,30,"MD",50.26041244,-123.64200138,NA,"7",NA,"2",20
"1018","CWHds1","CWHds1/101",NA,"Ba",2,"inputed",NA,"T38-088","ABIEAMA",20,0,"C",4,395,75,294,"MD",50.29708663,-123.57165938,NA,"6",NA,"2",20
"1019","CWHds1","CWHds1/101a",NA,"Ba",2,"inputed",NA,"T38-088","ABIEAMA",20,0,"C",4,395,75,294,"MD",50.29708663,-123.57165938,NA,"6",NA,"2",20
"1020","CWHds1","CWHds1/101",NA,"Ba",2,"inputed",NA,"T38-087","ABIEAMA",20,0,"C",4,510,10,255,"MD",50.33749768,-123.57054423,NA,"6",NA,"2",20
"1021","CWHds1","CWHds1/101a",NA,"Ba",2,"inputed",NA,"T38-087","ABIEAMA",20,0,"C",4,510,10,255,"MD",50.33749768,-123.57054423,NA,"6",NA,"2",20
"1022","CWHds1","CWHds1/101",NA,"Ba",2,"inputed",NA,"T38-086","ABIEAMA",20,0,"B",3,570,50,290,"MD",50.37028338,-123.55650532,NA,"6",NA,"2",20
"1023","CWHds1","CWHds1/101a",NA,"Ba",2,"inputed",NA,"T38-086","ABIEAMA",20,0,"B",3,570,50,290,"MD",50.37028338,-123.55650532,NA,"6",NA,"2",20
"1026","CWHds1","CWHds1/101",NA,"Ba",2,"inputed",NA,"T38-084","ABIEAMA",20,0,"B",4,570,20,268,"MD",50.36622671,-123.56364923,NA,"7",NA,"2",20
"1027","CWHds1","CWHds1/101a",NA,"Ba",2,"inputed",NA,"T38-084","ABIEAMA",20,0,"B",4,570,20,268,"MD",50.36622671,-123.56364923,NA,"7",NA,"2",20
"1028","CWHds1","CWHds1/101",NA,"Ba",2,"inputed",NA,"T38-081","ABIEAMA",15,0,"C",4,380,20,262,"MD",50.32020322,-123.5668154,NA,"7",NA,"2",15
"1029","CWHds1","CWHds1/101a",NA,"Ba",2,"inputed",NA,"T38-081","ABIEAMA",15,0,"C",4,380,20,262,"MD",50.32020322,-123.5668154,NA,"7",NA,"2",15
"1031","CWHms3","CWHms3/112",NA,"Hm",3,"inputed",NA,"T38-059","TSUGMER",4,0,"D",5,800,28,224,"MD",50.01134279,-123.55490095,NA,"7",NA,"3",4
"1032","CWHms4","CWHms4/112",NA,"Hm",2,"inputed",NA,"T38-059","TSUGMER",4,0,"D",5,800,28,224,"MD",50.01134279,-123.55490095,NA,"7",NA,"2",4
"1033","CWHms5","CWHms5/112",NA,"Hm",3,"inputed",NA,"T38-059","TSUGMER",4,0,"D",5,800,28,224,"MD",50.01134279,-123.55490095,NA,"7",NA,"3",4
"1038","CWHms3","CWHms3/112",NA,"Hm",3,"inputed",NA,"T38-053","TSUGMER",4,0,"D",5,980,30,90,"MD",49.98264322,-123.35202475,NA,"7",NA,"3",4
"1039","CWHms4","CWHms4/112",NA,"Hm",2,"inputed",NA,"T38-053","TSUGMER",4,0,"D",5,980,30,90,"MD",49.98264322,-123.35202475,NA,"7",NA,"2",4
"1040","CWHms5","CWHms5/112",NA,"Hm",3,"inputed",NA,"T38-053","TSUGMER",4,0,"D",5,980,30,90,"MD",49.98264322,-123.35202475,NA,"7",NA,"3",4
"1041","CWHms3","CWHms3/112",NA,"Hm",3,"inputed",NA,"T38-050","TSUGMER",15,0,"D",5,945,90,290,"MD",50.01702445,-123.31386821,NA,"7",NA,"3",15
"1042","CWHms4","CWHms4/112",NA,"Hm",2,"inputed",NA,"T38-050","TSUGMER",15,0,"D",5,945,90,290,"MD",50.01702445,-123.31386821,NA,"7",NA,"2",15
"1043","CWHms5","CWHms5/112",NA,"Hm",3,"inputed",NA,"T38-050","TSUGMER",15,0,"D",5,945,90,290,"MD",50.01702445,-123.31386821,NA,"7",NA,"3",15
"1045","CWHms4","CWHms4/110",NA,"Tw",3,"inputed",NA,"T38-049","TAXUBRE",3,0,"D",4,400,80,350,"MD",50.25690061,-123.62261069,NA,"7",NA,"3",3
"1047","CWHms5","CWHms5/101.2",NA,"Yc",2,"inputed",NA,"T38-048","CALLNOO",6,0,"B",3,905,45,340,"UP",49.99680085,-123.3529917,NA,"7",NA,"2",6
"1051","CWHms5","CWHms5/101.2",NA,"Yc",2,"inputed",NA,"T38-046","CALLNOO",15,0,"C",4,940,45,45,"MD",50.03366136,-123.37348911,NA,"7",NA,"2",15
"1054","CWHms5","CWHms5/101.2",NA,"Yc",2,"inputed",NA,"T38-045","CALLNOO",16,0,"B",3,965,60,320,"MD",50.03767937,-123.32571926,NA,"7",NA,"2",16
"1058","CWHms4","CWHms4/110",NA,"Tw",3,"inputed",NA,"T38-039","TAXUBRE",0.100000001490116,0,"D",4,980,35,290,"MD",49.95834133,-123.24169461,NA,"6",NA,"3",0.100000001490116
"1060","CWHms5","CWHms5/101.2",NA,"Yc",2,"inputed",NA,"T38-038","CALLNOO",15,0,"C",4,790,65,260,"MD",49.97140189,-123.44014173,NA,"7",NA,"2",15
"1063","CWHds1","CWHds1/101",NA,"Ba",2,"inputed",NA,"T38-027","ABIEAMA",10,0,"B",2,340,40,190,"MD",50.13144378,-123.46663984,NA,"6",NA,"2",10
"1065","CWHds1","CWHds1/101",NA,"Ba",2,"inputed",NA,"T38-026","ABIEAMA",12,0,"C",4,380,15,262,"MD",50.32181388,-123.56781663,NA,"7",NA,"2",12
"1066","CWHds1","CWHds1/101a",NA,"Ba",2,"inputed",NA,"T38-026","ABIEAMA",12,0,"C",4,380,15,262,"MD",50.32181388,-123.56781663,NA,"7",NA,"2",12
"1067","CWHds1","CWHds1/101",NA,"Ba",2,"inputed",NA,"T38-024","ABIEAMA",15,0,"B",4,575,50,240,"MD",49.91653151,-123.27353843,NA,"6",NA,"2",15
"1068","CWHds1","CWHds1/101a",NA,"Ba",2,"inputed",NA,"T38-024","ABIEAMA",15,0,"B",4,575,50,240,"MD",49.91653151,-123.27353843,NA,"6",NA,"2",15
"1069","CWHds1","CWHds1/101",NA,"Ba",2,"inputed",NA,"T38-013","ABIEAMA",6,0,"C",3,280,80,60,"MD",50.19580921,-123.55279412,NA,"7",NA,"2",6
"1070","CWHds1","CWHds1/101a",NA,"Ba",2,"inputed",NA,"T38-013","ABIEAMA",6,0,"C",3,280,80,60,"MD",50.19580921,-123.55279412,NA,"7",NA,"2",6
"1071","CWHds1","CWHds1/101",NA,"Ba",2,"inputed",NA,"T38-007","ABIEAMA",20,0,"C",4,380,55,25,"MD",50.25854215,-123.61818796,NA,"7",NA,"2",20
"1072","CWHds1","CWHds1/101a",NA,"Ba",2,"inputed",NA,"T38-007","ABIEAMA",20,0,"C",4,380,55,25,"MD",50.25854215,-123.61818796,NA,"7",NA,"2",20
"1073","CWHds1","CWHds1/101",NA,"Ba",2,"inputed",NA,"T38-005","ABIEAMA",20,0,"C",3,445,90,240,"MD",50.3460856,-123.56778004,NA,"7",NA,"2",20
"1074","CWHds1","CWHds1/101a",NA,"Ba",2,"inputed",NA,"T38-005","ABIEAMA",20,0,"C",3,445,90,240,"MD",50.3460856,-123.56778004,NA,"7",NA,"2",20
"1075","CWHdm2","CWHdm2/101",NA,"Ba",2,"inputed",NA,"T37-006","ABIEAMA",14,0,"C",3,200,15,280,"MD",50.187104,-126.526328,NA,"7",NA,"2",14
"1076","CWHdm2","CWHdm2/101",NA,"Ba",2,"inputed",NA,"T37-003","ABIEAMA",18,0,"C",3,285,30,270,"MD",50.001126,-126.297666,NA,"7",NA,"2",18
"1077","CWHdm2","CWHdm2/101",NA,"Ba",2,"inputed",NA,"T37-001","ABIEAMA",30,0,"C",4,245,10,230,"MD",50.018459,-126.363016,NA,"7",NA,"2",30
"1080","MSdw","MSdw/101",NA,"Hw",3,"inputed",NA,"T269","TSUGHET",0,0.5,"C",4,1275,19,10,"MD",51.0379630514009,-116.782705704163,NA,"5",NA,"3",0.5
"1081","MSdk","MSdk/101",NA,"Hw",3,"inputed",NA,"T269","TSUGHET",0,0.5,"C",4,1275,19,10,"MD",51.0379630514009,-116.782705704163,NA,"5",NA,"3",0.5
"1090","IDFdk5","IDFdk5/101",NA,"Bl",3,"inputed",NA,"T1682","ABIELAS",0,1,"D",4,1000,14,52,"MD",50.9543682403849,-116.554416632244,NA,"5","IDF dk 5 /101","3",1
"1105","IDFdk5","IDFdk5/101",NA,"Bl",3,"inputed",NA,"T1529","ABIELAS",0,2,"C",4,1100,48,32,"MD",50.9570728300744,-116.614461433219,NA,"5","IDF dk 5 /101","3",2
"1106","IDFdk5","IDFdk5/101",NA,"Bl",3,"inputed",NA,"T1529","ABIELAS",0,2,"C",4,1100,48,32,"MD",50.9570728300744,-116.614461433219,NA,"5","IDF dk 5 /101","3",2
"1108","IDFdk5","IDFdk5/101",NA,"Bl",3,"inputed",NA,"T1477","ABIELAS",0,1,"C",4,1125,4,305,"LV",50.9800998479158,-116.616279331031,NA,"5","IDF dk 5 /101","3",1
"1110","IDFdk5","IDFdk5/101",NA,"Bl",3,"inputed",NA,"T1476","ABIELAS",0,3,"C",4,1125,7,130,"MD",50.9812399270318,-116.618421005194,NA,"5","IDF dk 5 /101","3",3
"1112","IDFdk5","IDFdk5/101",NA,"Bl",3,"inputed",NA,"T1473","ABIELAS",0,0.5,"C",3,1040,18,76,"MD",50.9208137763832,-116.558393551381,NA,"5","IDF dk 5 /101","3",0.5
"1113","IDFdk5","IDFdk5/101",NA,"Bl",3,"inputed",NA,"T1473","ABIELAS",0,0.5,"C",3,1040,18,76,"MD",50.9208137763832,-116.558393551381,NA,"5","IDF dk 5 /101","3",0.5
"1118","MSdw","MSdw/101",NA,"Hw",3,"inputed",NA,"T1454","TSUGHET",0,3,"D",4,1025,40,40,"MD",51.0481433500155,-116.658843543561,NA,"6",NA,"3",3
"1119","MSdk","MSdk/101",NA,"Hw",3,"inputed",NA,"T1454","TSUGHET",0,3,"D",4,1025,40,40,"MD",51.0481433500155,-116.658843543561,NA,"6",NA,"3",3
"1124","MSdw","MSdw/101",NA,"Hw",3,"inputed",NA,"T1244","TSUGHET",0,3,"C",4,1250,10,3,"MD",50.8918411394704,-116.554146176569,NA,"5",NA,"3",3
"1125","MSdk","MSdk/101",NA,"Hw",3,"inputed",NA,"T1244","TSUGHET",0,3,"C",4,1250,10,3,"MD",50.8918411394704,-116.554146176569,NA,"5",NA,"3",3
"1128","IDFdk5","IDFdk5/101",NA,"Bl",3,"inputed",NA,"T1216","ABIELAS",0,2,"C",4,1075,28,13,"MD",50.9250657712422,-116.577419303269,NA,"5","IDF dk 5 /101","3",2
"1129","IDFdk5","IDFdk5/101",NA,"Bl",3,"inputed",NA,"T1215","ABIELAS",3,0,"C",3,1025,48,20,"MD",50.92472544762,-116.563137215476,NA,"5","IDF dk 5 /101","3",3
"1145","IDFdk5","IDFdk5/101",NA,"Bl",3,"inputed",NA,"T1077","ABIELAS",0,1,"D",4,1125,6,180,"MD",50.9813626021183,-116.637167132487,NA,"5","IDF dk 5 /101","3",1
"1151","CWHms3","CWHms3/101",NA,"Pw",3,"inputed",NA,"T  022","PINUMON",3,0,"C",3,660,57,70,"MD",50.53055953,-124.0582962,NA,NA,"CWH ms 3 /101","3",3
"1152","CWHms3","CWHms3/101",NA,"Pw",3,"inputed",NA,"T  022","PINUMON",3,0,"C",3,660,57,70,"MD",50.53055953,-124.0582962,NA,NA,"CWH ms 3 /101","3",3
"1155","CWHdm2","CWHdm2/103",NA,"Cw",3,"inputed",NA,"T  007","THUJPLI",0,2,"C",1,60,70,330,"CR",50.544291,-124.144452,NA,NA,"CWH dm 2 /103","3",2
"1156","CWHvm1","CWHvm1/110",NA,"Tw",3,"inputed",NA,"T  004","TAXUBRE",0,6,"C",5,500,52,95,"MD",50.518349,-124.357775,"OC",NA,"CWH vm 1 /110","3",6
"1157","CWHvm1","CWHvm1/110",NA,"Tw",3,"inputed",NA,"T  004","TAXUBRE",0,6,"C",5,500,52,95,"MD",50.518349,-124.357775,"OC",NA,"CWH vm 1 /110","3",6
"1158","CWHvm1","CWHvm1/110",NA,"Tw",3,"inputed",NA,"T  004","TAXUBRE",0,6,"C",5,500,52,95,"MD",50.518349,-124.357775,"OC",NA,"CWH vm 1 /110","3",6
"1159","CWHvm1","CWHvm1/110",NA,"Tw",3,"inputed",NA,"T  004","TAXUBRE",0,6,"C",5,500,52,95,"MD",50.518349,-124.357775,"OC",NA,"CWH vm 1 /110","3",6
"1163","ESSFxc2","ESSFxc2/111",NA,"Pl",3,"inputed",NA,"Se003","PINUCON",5,0,"C",6,1657,9,53,"TO",49.8695440619397,-120.064929822203,"MS","6",NA,"3",5
"1209","CWHms5","CWHms5/103.2",NA,"Bg",3,"inputed",NA,"SK93736","ABIEGRA",0,9,"A",2,823,29,94,"CR",49.2019202493209,-120.988584586158,"MEC",NA,"CWH ms 5 /103.2","3",9
"1210","CWHms5","CWHms5/103.2",NA,"Bg",3,"inputed",NA,"SK93736","ABIEGRA",0,9,"A",2,823,29,94,"CR",49.2019202493209,-120.988584586158,"MEC",NA,"CWH ms 5 /103.2","3",9
"1211","CWHms5","CWHms5/103.2",NA,"Bg",3,"inputed",NA,"SK93736","ABIEGRA",0,9,"A",2,823,29,94,"CR",49.2019202493209,-120.988584586158,"MEC",NA,"CWH ms 5 /103.2","3",9
"1212","CWHms5","CWHms5/103.2",NA,"Bg",3,"inputed",NA,"SK93736","ABIEGRA",0,9,"A",2,823,29,94,"CR",49.2019202493209,-120.988584586158,"MEC",NA,"CWH ms 5 /103.2","3",9
"1213","CWHms5","CWHms5/103.2",NA,"Bg",3,"inputed",NA,"SK93736","ABIEGRA",0,9,"A",2,823,29,94,"CR",49.2019202493209,-120.988584586158,"MEC",NA,"CWH ms 5 /103.2","3",9
"1219","CWHms5","CWHms5/103.2",NA,"Mv",3,"inputed",NA,"SK93736","ACERCIR",0,2,"A",2,823,29,94,"CR",49.2019202493209,-120.988584586158,"MEC",NA,"CWH ms 5 /103.2","3",2
"1220","CWHms5","CWHms5/103.2",NA,"Mv",3,"inputed",NA,"SK93736","ACERCIR",0,2,"A",2,823,29,94,"CR",49.2019202493209,-120.988584586158,"MEC",NA,"CWH ms 5 /103.2","3",2
"1221","CWHms5","CWHms5/103.2",NA,"Mv",3,"inputed",NA,"SK93736","ACERCIR",0,2,"A",2,823,29,94,"CR",49.2019202493209,-120.988584586158,"MEC",NA,"CWH ms 5 /103.2","3",2
"1222","CWHms5","CWHms5/103.2",NA,"Mv",3,"inputed",NA,"SK93736","ACERCIR",0,2,"A",2,823,29,94,"CR",49.2019202493209,-120.988584586158,"MEC",NA,"CWH ms 5 /103.2","3",2
"1223","CWHms5","CWHms5/103.2",NA,"Mv",3,"inputed",NA,"SK93736","ACERCIR",0,2,"A",2,823,29,94,"CR",49.2019202493209,-120.988584586158,"MEC",NA,"CWH ms 5 /103.2","3",2
"1226","CWHms3","CWHms3/101",NA,"Bl",2,"inputed",NA,"SK93735","ABIELAS",4,0.200000002980232,"A",3,869,35,22,"LW",49.1974826776558,-120.99205921361,"MEC",NA,NA,"2",4.20000000298023
"1228","CWHms3","CWHms3/101",NA,"Pw",3,"inputed",NA,"SK93735","PINUMON",0,0.200000002980232,"A",3,869,35,22,"LW",49.1974826776558,-120.99205921361,"MEC",NA,NA,"3",0.200000002980232
"1232","CWHxs","CWHxs/101.1",NA,"Bl",4,"inputed",NA,"SK93730","ABIELAS",0,0.100000001490116,"B",4,658,42,58,"LW",49.0736752678558,-121.135631423134,"MCC",NA,"CWH xs   /101.1","4",0.100000001490116
"1236","CWHxs","CWHxs/101.1",NA,"Bl",4,"inputed",NA,"SK93729","ABIELAS",0.100000001490116,0,"B",4,658,36,74,"MD",49.07416915,-121.13559722,"MCC",NA,"CWH xs   /101.1","4",0.100000001490116
"1238","CWHxs","CWHxs/101.1",NA,"Bl",4,"inputed",NA,"SK93728","ABIELAS",0,0.100000001490116,"B",4,652,72,76,"MD",49.0722124188218,-121.134179978274,"MCC",NA,"CWH xs   /101.1","4",0.100000001490116
"1239","CWHxs","CWHxs/101.2",NA,"Ba",4,"inputed",NA,"SK93716","ABIEAMA",0,0.100000001490116,"B",3,562,18,315,"LV",49.1226435852658,-121.182591417132,"MCC",NA,"CWH xs   /101.2","4",0.100000001490116
"1240","CWHxs","CWHxs/101.2",NA,"Ba",4,"inputed",NA,"SK93716","ABIEAMA",0,0.100000001490116,"B",3,562,18,315,"LV",49.1226435852658,-121.182591417132,"MCC",NA,"CWH xs   /101.2","4",0.100000001490116
"1241","CWHxs","CWHxs/101.2",NA,"Ba",4,"inputed",NA,"SK93716","ABIEAMA",0,0.100000001490116,"B",3,562,18,315,"LV",49.1226435852658,-121.182591417132,"MCC",NA,"CWH xs   /101.2","4",0.100000001490116
"1242","CWHxs","CWHxs/101.2",NA,"Ba",4,"inputed",NA,"SK93716","ABIEAMA",0,0.100000001490116,"B",3,562,18,315,"LV",49.1226435852658,-121.182591417132,"MCC",NA,"CWH xs   /101.2","4",0.100000001490116
"1243","CWHws2","CWHws2/102",NA,"Ac",4,"inputed",NA,"SI18446","POPUTRI",0,0.0199999995529652,"B",0,360,15,210,"CR",55.4115772713266,-129.115949480184,"MEC","5","CWH ws 2 /102","4",0.0199999995529652
"1245","CWHws2","CWHws2/101",NA,"At",3,"inputed",NA,"SI18444","POPUTRE",3,0.100000001490116,"C",4,367,24,254,"MD",55.4175634495031,-129.123470672608,"MCC","6","CWH ws 2 /101","3",3.10000000149012
"1246","CWHws2","CWHws2/110",NA,"Pl",4,"inputed",NA,"SI18442","PINUCON",0,0.200000002980232,"D",4,324,15,236,"MD",55.4158095690527,-129.125092239628,"YCC","3b",NA,"4",0.200000002980232
"1254","ICHvc","ICHvc/02",NA,"Ac",4,"inputed",NA,"SI18053","POPUTRI",1,0,"C",3,314,18,140,"LW",56.0997778593137,-129.467119532803,"YS","4",NA,"4",1
"1255","ICHmc1","ICHmc1/02",NA,"Ep",3,"inputed",NA,"SI18049","BETUPAP",0,3.5,"C",2,335,48,33,"CR",55.7564868705366,-128.816616994924,"PS","4",NA,"3",3.5
"1257","CWHws2","CWHws2/102",NA,"Sx",3,"inputed",NA,"SI18008","PICEENE",0,9,"B",2,209,10,40,"CR",55.5031425315987,-128.951793360545,"YS","3b",NA,"3",9
"1258","CWHws2","CWHws2/102",NA,"Ac",4,"inputed",NA,"SI18008","POPUTRI",0,0.5,"B",2,209,10,40,"CR",55.5031425315987,-128.951793360545,"YS","3b",NA,"4",0.5
"1259","ICHmc1","ICHmc1/02",NA,"Ac",4,"inputed",NA,"SI17954","POPUTRI",0,0.100000001490116,"B",2,404,30,240,"CR",55.84474945,-128.90222167,"YS","4",NA,"4",0.100000001490116
"1260","ICHmc1","ICHmc1/02",NA,"Ep",3,"inputed",NA,"SI17954","BETUPAP",4,10,"B",2,404,30,240,"CR",55.84474945,-128.90222167,"YS","4",NA,"3",14
"1262","ICHmc1","ICHmc1/02",NA,"Ep",3,"inputed",NA,"SI17951","BETUPAP",0,3,"B",1,263,20,334,"CR",55.90613937,-129.02650451,"YS","3b",NA,"3",3
"1264","ICHmc1","ICHmc1/02",NA,"Ac",4,"inputed",NA,"SI14807","POPUTRI",0,0.5,"C",2,370,10,220,"UP",55.6609114050424,-128.688425215896,"YC","4/sC",NA,"4",0.5
"1265","ICHmc1","ICHmc1/02",NA,"Ep",3,"inputed",NA,"SI14807","BETUPAP",0,0.5,"C",2,370,10,220,"UP",55.6609114050424,-128.688425215896,"YC","4/sC",NA,"3",0.5
"1266","BWBSdk","BWBSdk/104",NA,"Ac",3,"inputed",NA,"SI12921","POPUBAL",10,0,"B",5,800,9,280,"LW",58.40833282,-130.1166687,"MC","6",NA,"3",10
"1267","MSdk","MSdk/103",NA,"Cw",3,"inputed",NA,"SF85","THUJPLI",7,4,"C",4,1425,17,280,"LW",50.5133300054275,-116.557777527947,NA,"4",NA,"3",11
"1274","CWHvh3","CWHvh3/101a",NA,"Tw",3,"inputed",NA,"SEW113","TAXUBRE",2,6,"C",2,110,30,160,"CR",52.810194,-132.006384,NA,NA,"CWH vh 3 /101a","3",8
"1275","CWHvh3","CWHvh3/101a",NA,"Tw",3,"inputed",NA,"SEW112","TAXUBRE",0,7,"C",4,120,40,160,"MD",52.810194,-132.006384,NA,NA,"CWH vh 3 /101a","3",7
"1277","CWHvh3","CWHvh3/115",NA,"Tw",3,"inputed",NA,"SEW111","TAXUBRE",0,0.5,"C",7,50,6,160,"TO",53.058062,-132.125246,NA,NA,"CWH vh 3 /115","3",0.5
"1278","CWHvh3","CWHvh3/101a",NA,"Tw",3,"inputed",NA,"SEW110","TAXUBRE",0,5,"C",4,80,40,230,"MD",53.058062,-132.125246,NA,NA,"CWH vh 3 /101a","3",5
"1284","CWHvm1","CWHvm1/101",NA,"Yc",2,"inputed",NA,"SALM16","CALLNOO",15,35,"C",4,810,15,144,"MD",49.6666300917699,-123.397415112673,NA,"7",NA,"2",50
"1285","CWHvm3","CWHvm3/101",NA,"Yc",2,"inputed",NA,"SALM16","CALLNOO",15,35,"C",4,810,15,144,"MD",49.6666300917699,-123.397415112673,NA,"7",NA,"2",50
"1286","CWHvm1","CWHvm1/101",NA,"Pw",3,"inputed",NA,"SALM16","PINUMON",0,3,"C",4,810,15,144,"MD",49.6666300917699,-123.397415112673,NA,"7",NA,"3",3
"1287","CWHvm1","CWHvm1/111",NA,"Pw",3,"inputed",NA,"SALM16","PINUMON",0,3,"C",4,810,15,144,"MD",49.6666300917699,-123.397415112673,NA,"7",NA,"3",3
"1288","CWHvm1","CWHvm1/111.2",NA,"Pw",3,"inputed",NA,"SALM16","PINUMON",0,3,"C",4,810,15,144,"MD",49.6666300917699,-123.397415112673,NA,"7",NA,"3",3
"1289","CWHvm3","CWHvm3/101",NA,"Pw",3,"inputed",NA,"SALM16","PINUMON",0,3,"C",4,810,15,144,"MD",49.6666300917699,-123.397415112673,NA,"7",NA,"3",3
"1290","CWHvm3","CWHvm3/111",NA,"Pw",3,"inputed",NA,"SALM16","PINUMON",0,3,"C",4,810,15,144,"MD",49.6666300917699,-123.397415112673,NA,"7",NA,"3",3
"1291","CWHvm3","CWHvm3/111.2",NA,"Pw",3,"inputed",NA,"SALM16","PINUMON",0,3,"C",4,810,15,144,"MD",49.6666300917699,-123.397415112673,NA,"7",NA,"3",3
"1292","CWHvm1","CWHvm1/101",NA,"Hm",2,"inputed",NA,"SALM16","TSUGMER",25,40,"C",4,810,15,144,"MD",49.6666300917699,-123.397415112673,NA,"7",NA,"2",65
"1293","CWHvm1","CWHvm1/111",NA,"Hm",2,"inputed",NA,"SALM16","TSUGMER",25,40,"C",4,810,15,144,"MD",49.6666300917699,-123.397415112673,NA,"7",NA,"2",65
"1294","CWHvm1","CWHvm1/111.2",NA,"Hm",2,"inputed",NA,"SALM16","TSUGMER",25,40,"C",4,810,15,144,"MD",49.6666300917699,-123.397415112673,NA,"7",NA,"2",65
"1295","CWHvm3","CWHvm3/101",NA,"Hm",2,"inputed",NA,"SALM16","TSUGMER",25,40,"C",4,810,15,144,"MD",49.6666300917699,-123.397415112673,NA,"7",NA,"2",65
"1296","CWHvm3","CWHvm3/111",NA,"Hm",2,"inputed",NA,"SALM16","TSUGMER",25,40,"C",4,810,15,144,"MD",49.6666300917699,-123.397415112673,NA,"7",NA,"2",65
"1297","CWHvm3","CWHvm3/111.2",NA,"Hm",2,"inputed",NA,"SALM16","TSUGMER",25,40,"C",4,810,15,144,"MD",49.6666300917699,-123.397415112673,NA,"7",NA,"2",65
"1298","CWHvm2","CWHvm2/101",NA,"Bl",3,"inputed",NA,"SALM15","ABIELAS",0,3,"C",3,831,5,156,"MD",49.6674194056677,-123.398059015427,NA,"7","CWH vm 2 /101","3",3
"1299","CWHvm2","CWHvm2/101",NA,"Bl",3,"inputed",NA,"SALM15","ABIELAS",0,3,"C",3,831,5,156,"MD",49.6674194056677,-123.398059015427,NA,"7","CWH vm 2 /101","3",3
"1300","CWHvm2","CWHvm2/101",NA,"Bl",3,"inputed",NA,"SALM15","ABIELAS",0,3,"C",3,831,5,156,"MD",49.6674194056677,-123.398059015427,NA,"7","CWH vm 2 /101","3",3
"1304","CWHdm3","CWHdm3/101",NA,"Ba",2,"inputed",NA,"SALM10","ABIEAMA",30,5,"C",4,499,22,2,"MD",49.7394455590247,-123.544526147719,NA,"5",NA,"2",35
"1310","CWHvm1","CWHvm1/110",NA,"Mv",3,"inputed",NA,"SALM03","ACERCIR",0,4,"C",3,458,52,194,"MD",49.8349692514303,-123.389907071723,NA,"3",NA,"3",4
"1312","ICHmw5","ICHmw5/103",NA,"Tw",4,"inputed",NA,"SADF016","TAXUBRE",0,0.5,"B",3,838,40,200,"UP",50.7218399,-119.14900207,"MEC","5","ICH mw 5 /103","4",0.5
"1317","CWHdm2","CWHdm2/112.1",NA,"Ba",3,"inputed",NA,"SA1045","ABIEAMA",0,8,"D",6,370,5,240,"LW",50.13610839,-125.62779998,NA,NA,NA,"3",8
"1319","CWHdm2","CWHdm2/101",NA,"Ba",2,"inputed",NA,"SA1041","ABIEAMA",0,2,"C",3,460,17,360,"UP",50.13055038,-125.61940002,"YS",NA,NA,"2",2
"1320","CWHdm2","CWHdm2/102",NA,"Cw",3,"inputed",NA,"SA1039","THUJPLI",0,0.699999988079071,"C",1,190,8,200,"UP",50.2388916,-125.56109619,"YS",NA,NA,"3",0.699999988079071
"1321","CWHdm2","CWHdm2/103",NA,"Cw",3,"inputed",NA,"SA1039","THUJPLI",0,0.699999988079071,"C",1,190,8,200,"UP",50.2388916,-125.56109619,"YS",NA,NA,"3",0.699999988079071
"1328","CWHdm2","CWHdm2/111",NA,"Ba",2,"inputed",NA,"SA 103","ABIEAMA",0,3.70000004768372,"B",6,530,6,110,NA,50.389444,-125.970358,NA,NA,NA,"2",3.70000004768372
"1329","CWHdm2","CWHdm2/110",NA,"Ss",2,"inputed",NA,"SA 096","PICESIT",7,0,"D",5,60,6,270,"TO",50.22222137,-125.09169769,"MCC",NA,"CWH dm 2 /110","2",7
"1331","CWHdm2","CWHdm2/112.2",NA,"Ss",1,"inputed",NA,"SA 094","PICESIT",48,0.699999988079071,"E",5,70,8,10,"LV",50.34444046,-125.20559692,"MEC",NA,"CWH dm 2 /112.2","1",48.6999999880791
"1332","CWHdm2","CWHdm2/112.2",NA,"Ss",1,"inputed",NA,"SA 094","PICESIT",48,0.699999988079071,"E",5,70,8,10,"LV",50.34444046,-125.20559692,"MEC",NA,"CWH dm 2 /112.2","1",48.6999999880791
